Region,States,25-12-2023,26-12-2023,27-12-2023,28-12-2023,29-12-2023,30-12-2023,31-12-2023
NR,Punjab,139.6,139.0,139.9,139.3,142.5,145.1,144.5
,Haryana,141.2,147.1,147.3,145.5,146.7,145.6,134.7
,Rajasthan,317.7,325.2,321.7,322.8,319.0,318.5,311.3
,Delhi,71.1,73.8,76.7,76.5,80.0,75.2,73.0
,UP,327.9,317.7,326.2,334.1,345.3,346.5,342.7
,Uttarakhand,42.0,42.9,42.8,42.3,41.1,42.9,41.4
,HP,36.4,37.8,38.2,37.9,38.4,37.8,34.8
,J&K,61.7,61.1,60.5,61.5,61.2,60.5,63.5
,Chandigarh,3.7,4.0,4.1,4.1,4.2,3.9,4.2
,Railways_NR ISTS,3.3,3.2,3.0,3.1,3.5,3.3,3.5
WR,Chhattisgarh,97.2,96.4,97.2,97.6,97.1,98.6,98.9
,Gujarat,390.9,396.1,391.4,401.6,399.7,400.1,389.4
,MP,324.5,323.7,328.2,327.1,329.6,327.4,323.6
,Maharashtra,535.5,555.1,557.8,556.0,561.5,554.5,526.6
,Goa,12.2,13.2,13.4,13.4,13.6,13.8,12.7
,DNHDDPDCL,28.5,29.2,29.2,29.1,29.0,28.9,27.3
,AMNSIL,18.9,18.6,18.7,18.9,19.4,19.5,17.9
,BALCO,12.3,12.4,12.4,12.4,12.4,12.4,12.4
SR,Andhra Pradesh,196.9,198.8,202.8,205.1,205.2,205.3,202.0
,Telangana,223.6,228.6,231.7,231.1,234.5,231.8,226.0
,Karnataka,254.0,265.9,263.6,266.1,269.0,269.2,254.0
,Kerala,75.2,81.2,82.8,84.4,85.7,84.8,77.3
,Tamil Nadu,288.4,308.6,320.7,326.4,325.4,319.3,298.8
,Pondy,8.1,8.6,8.8,8.9,9.0,8.9,8.1
ER,Bihar,87.0,88.6,89.6,88.4,89.8,89.9,93.7
,DVC,72.6,72.5,72.1,72.8,73.0,72.1,73.0
,Jharkhand,33.0,31.9,31.5,30.3,31.2,31.9,32.7
,Odisha,89.9,98.7,105.2,107.2,106.2,99.6,100.4
,West Bengal,126.7,132.3,136.5,137.1,136.1,134.6,125.7
,Sikkim,1.7,1.8,1.7,1.7,1.7,1.8,1.5
,Railways_ER ISTS*,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NER,Arunachal Pradesh,2.7,3.0,3.1,3.0,2.9,2.9,2.6
Assam,25.9,26.4,26.3,26.5,26.6,26.6,25.6,
Manipur,3.1,3.2,3.2,3.1,3.1,3.0,3.2,
Meghalaya,6.2,6.2,6.3,6.2,6.1,6.3,6.5,
Mizoram,1.9,1.8,2.1,2.1,2.0,2.1,2.1,
Nagaland,2.2,2.2,2.4,2.4,2.4,2.4,2.4,
Tripura,3.8,3.9,3.9,3.8,3.9,4.0,3.9,
ALL INDIA TOTAL,4067.8,4161.0,4202.9,4229.6,4258.3,4230.9,4102.1,
*Railways_ER ISTS added as an entity w.e.f 30.04.2023,,,,,,,,
