Region,States,09-04-2018,10-04-2018,11-04-2018,12-04-2018,13-04-2018,14-04-2018,15-04-2018
NR,Punjab,105.3,117.0,100.6,107.4,108.6,106.5,109.9
,Haryana,102.4,117.2,106.1,102.6,111.9,112.7,104.7
,Rajasthan,182.2,185.0,176.4,171.1,179.5,188.1,180.5
,Delhi,79.8,82.0,80.9,78.3,80.1,77.4,78.6
,UP,267.0,262.1,253.6,245.1,282.2,284.3,293.7
,Uttarakhand,31.9,33.2,30.8,34.0,34.9,35.2,32.8
,HP,23.5,29.8,24.1,25.2,25.6,25.8,23.1
,J&K,34.6,42.4,37.9,42.4,43.3,43.9,41.1
,Chandigarh,3.9,4.1,3.7,3.6,3.6,3.5,3.3
WR,Chhattisgarh,84.7,86.2,88.7,84.2,85.5,75.7,77.2
,Gujarat,342.1,351.2,347.6,351.4,353.9,351.2,339.6
,MP,178.3,182.3,174.7,168.9,180.4,184.3,180.2
,Maharashtra,476.1,490.6,469.3,484.1,488.3,494.7,473.8
,Goa,11.5,11.5,11.1,11.7,11.7,11.7,11.1
,DD,7.0,7.3,7.5,7.5,7.5,7.4,6.9
,DNH,18.0,17.9,18.0,18.2,17.7,17.6,17.3
,Essar steel,5.7,5.2,5.2,5.3,5.3,5.5,5.3
SR,Andhra Pradesh,177.4,179.2,182.5,183.5,181.7,182.9,182.6
,Telangana,167.0,176.5,179.4,180.5,185.3,186.2,173.6
,Karnataka,224.6,229.2,228.8,229.6,230.5,226.6,204.6
,Kerala,76.2,79.2,77.8,76.8,74.7,74.3,67.3
,Tamil Nadu,329.5,339.3,339.3,342.9,339.8,322.8,308.2
,Pondy,7.9,8.1,7.8,8.0,8.2,8.0,7.6
ER,Bihar,79.4,76.0,74.2,75.3,79.5,78.9,82.9
,DVC,62.9,65.0,65.9,69.7,71.6,73.3,72.5
,Jharkhand,22.7,20.2,21.7,20.1,23.3,23.7,24.4
,Odisha,72.0,71.2,77.7,74.0,77.5,77.7,78.2
,West Bengal,145.7,138.5,147.5,132.9,139.6,152.3,144.9
,Sikkim,1.3,1.5,1.6,1.4,1.3,1.5,1.2
NER,Arunachal Pradesh,2.0,2.1,2.1,2.1,2.1,2.0,2.0
Assam,25.2,24.8,22.7,22.9,20.2,19.6,20.0,
Manipur,2.0,2.2,2.1,2.0,2.1,2.3,2.3,
Meghalaya,4.6,4.4,4.7,4.5,4.3,4.6,4.4,
Mizoram,1.4,1.5,1.4,1.6,1.6,1.4,1.3,
Nagaland,1.9,1.9,2.1,2.1,2.1,2.1,2.0,
Tripura,4.1,4.0,3.7,3.8,4.0,3.5,3.7,
