Region,States,21-08-2023,22-08-2023,23-08-2023,24-08-2023,25-08-2023,26-08-2023,27-08-2023
NR,Punjab,318.3,322.8,331.5,320.0,317.4,290.8,304.1
,Haryana,256.3,259.0,232.4,230.5,238.3,242.9,230.4
,Rajasthan,325.1,341.1,331.4,333.6,337.6,341.4,342.4
,Delhi,147.8,147.9,129.7,122.6,125.5,123.3,119.1
,UP,528.7,504.2,397.7,411.2,430.3,465.1,485.1
,Uttarakhand,45.6,43.1,43.4,44.0,45.4,47.1,45.2
,HP,34.3,40.7,31.3,36.5,29.8,33.3,31.9
,J&K,53.6,53.0,51.6,49.7,49.5,47.7,49.5
,Chandigarh,7.6,7.4,6.0,6.0,6.7,6.4,6.0
,Railways_NR ISTS,3.2,3.3,3.2,3.2,3.3,3.2,3.3
WR,Chhattisgarh,114.5,120.9,123.0,121.6,120.4,125.5,129.4
,Gujarat,431.7,444.2,445.3,450.0,451.1,463.3,444.8
,MP,246.4,251.6,241.3,244.8,255.2,266.6,271.6
,Maharashtra,542.7,551.3,554.3,566.7,560.8,554.9,538.3
,Goa,13.3,13.6,13.8,14.0,13.6,14.1,12.1
,DNHDDPDCL,30.1,30.7,30.5,30.6,30.2,30.3,7.8
,AMNSIL,17.8,20.6,19.2,18.8,18.6,18.8,18.8
,BALCO,12.4,12.4,12.4,12.4,12.4,12.5,12.5
SR,Andhra Pradesh,227.1,233.4,236.5,237.4,243.6,231.7,225.8
,Telangana,234.3,252.8,258.9,265.4,275.7,257.9,256.6
,Karnataka,260.6,260.1,291.0,295.6,295.5,283.7,272.0
,Kerala,84.9,87.9,89.3,88.6,88.6,87.3,82.0
,Tamil Nadu,367.7,373.4,383.3,380.7,385.4,389.8,349.9
,Pondy,10.0,10.4,10.5,10.5,10.7,10.7,9.8
ER,Bihar,148.6,135.4,136.5,128.8,124.6,123.2,134.5
,DVC,75.9,76.2,74.1,75.1,74.7,76.7,74.4
,Jharkhand,38.5,36.6,38.7,36.4,37.9,36.3,39.9
,Odisha,106.0,112.7,111.4,110.2,111.5,113.7,132.3
,West Bengal,218.4,223.8,208.4,194.9,182.9,180.2,186.3
,Sikkim,1.2,1.3,1.3,1.3,1.1,1.2,0.7
,Railways_ER ISTS*,0.2,0.2,0.1,0.2,0.1,0.2,0.1
NER,Arunachal Pradesh,3.0,2.8,2.8,2.9,2.8,2.8,2.7
Assam,42.2,38.7,39.9,39.6,40.7,38.8,36.1,
Manipur,2.7,2.5,2.6,2.6,2.6,2.5,2.5,
Meghalaya,5.3,5.1,5.3,5.8,5.6,5.2,5.4,
Mizoram,2.0,2.0,1.7,1.8,1.8,2.0,2.0,
Nagaland,2.7,2.8,2.9,2.7,2.9,2.9,2.8,
Tripura,6.2,5.8,5.6,5.8,5.2,4.9,4.6,
ALL INDIA TOTAL,4966.8,5031.5,4898.5,4902.4,4939.9,4938.9,4872.7,
*Railways_ER ISTS added as an entity w.e.f 30.04.2023,,,,,,,,
