Region,States,06-02-2017,07-02-2017,08-02-2017,09-02-2017,10-02-2017,11-02-2017,12-02-2017
NR,Punjab,90.8,94.6,97.6,97.9,101.7,102.6,98.7
,Haryana,101.9,110.3,115.6,113.1,111.4,109.0,112.4
,Rajasthan,199.8,203.0,207.8,203.5,205.0,203.7,203.6
,Delhi,61.9,61.5,62.5,62.0,63.4,58.8,56.6
,UP,258.1,264.9,273.8,276.2,290.4,288.4,283.2
,Uttarakhand,33.1,34.4,34.3,34.7,34.9,34.5,33.3
,HP,25.5,27.3,28.8,27.2,28.1,27.2,24.5
,J&K,46.3,46.1,48.0,41.9,43.2,44.7,42.3
,Chandigarh,3.4,3.5,3.6,3.5,3.4,3.3,3.0
WR,Chhattisgarh,75.9,76.8,76.5,78.3,77.9,75.1,70.9
,Gujarat,277.4,275.7,281.1,280.6,280.6,280.9,272.8
,MP,202.4,204.0,204.9,205.0,205.9,190.3,177.4
,Maharashtra,429.2,434.1,438.6,440.1,434.0,431.1,416.5
,Goa,9.5,9.3,9.4,9.5,9.7,9.7,8.1
,DD,6.7,4.9,6.7,6.9,6.9,6.8,6.5
,DNH,16.8,16.9,16.9,17.0,16.6,16.5,16.5
,Essar steel,8.6,8.9,9.2,9.3,8.8,9.9,9.4
SR,Andhra Pradesh,157.9,158.7,160.4,158.6,159.5,154.0,154.3
,Telangana,166.3,170.0,170.4,170.2,171.1,164.8,160.6
,Karnataka,209.1,211.7,212.8,214.9,214.9,210.5,197.1
,Kerala,65.2,67.2,67.6,67.5,67.2,66.7,61.3
,Tamil Nadu,265.5,281.0,276.9,285.1,284.7,283.2,261.3
,Pondy,6.0,6.0,6.5,6.4,6.4,6.2,5.5
ER,Bihar,60.7,60.0,61.4,63.7,60.5,59.9,63.7
,DVC,62.3,63.4,63.9,63.6,64.6,63.8,63.2
,Jharkhand,23.7,22.6,23.4,23.8,21.6,23.5,21.2
,Odisha,67.2,70.2,67.2,67.6,69.3,68.5,68.3
,West Bengal,110.1,109.8,112.3,113.7,113.5,113.4,107.2
,Sikkim,1.5,1.4,1.9,1.8,1.5,1.3,1.3
NER,Arunachal Pradesh,2.0,2.1,2.1,2.1,1.9,2.0,2.0
Assam,22.5,22.1,22.9,23.5,22.3,23.0,21.2,
Manipur,2.2,2.1,2.0,2.2,2.3,2.1,2.1,
Meghalaya,6.0,6.2,5.6,5.2,5.5,6.1,5.8,
Mizoram,1.4,1.5,1.4,1.5,1.4,1.5,1.3,
Nagaland,1.7,1.8,1.9,1.9,1.8,2.1,1.7,
Tripura,3.2,3.1,3.3,3.4,3.6,3.3,3.4,
