Region,States,12-03-2018,13-03-2018,14-03-2018,15-03-2018,16-03-2018,17-03-2018,18-03-2018
NR,Punjab,131.7,136.2,137.1,132.4,130.7,128.1,123.2
,Haryana,135.1,137.1,133.1,131.2,134.8,133.5,120.5
,Rajasthan,196.5,199.9,195.5,195.1,193.7,186.5,176.0
,Delhi,65.5,67.2,68.9,69.7,69.9,65.3,61.9
,UP,296.0,288.4,287.1,293.9,298.2,298.2,293.3
,Uttarakhand,34.2,35.1,35.6,34.5,34.6,34.3,32.8
,HP,24.9,25.1,25.8,26.3,26.6,27.4,24.3
,J&K,42.4,43.4,42.7,40.9,42.2,41.7,43.5
,Chandigarh,3.2,3.2,3.3,3.2,3.2,3.0,2.7
WR,Chhattisgarh,83.5,84.1,85.8,86.3,81.5,81.3,83.5
,Gujarat,318.3,319.5,316.9,322.4,326.2,326.1,313.7
,MP,186.6,187.2,186.7,180.5,181.5,181.2,176.5
,Maharashtra,457.2,465.5,462.8,459.9,435.4,440.0,435.5
,Goa,9.1,9.1,10.9,10.9,9.2,9.0,9.6
,DD,7.3,7.5,7.4,7.5,7.4,7.5,7.0
,DNH,17.7,17.8,17.8,17.8,17.4,17.6,17.4
,Essar steel,6.6,10.1,10.1,10.1,10.5,14.0,14.3
SR,Andhra Pradesh,180.7,182.8,183.9,184.6,181.4,159.5,151.1
,Telangana,214.3,216.7,220.4,220.6,208.7,174.2,198.2
,Karnataka,232.3,234.4,231.8,214.1,196.9,188.7,185.2
,Kerala,76.0,75.9,72.8,72.5,73.9,74.7,64.4
,Tamil Nadu,310.7,314.4,314.8,320.0,324.1,293.2,276.6
,Pondy,7.3,7.5,7.6,7.7,7.8,6.8,6.6
ER,Bihar,73.4,72.8,75.8,76.2,73.2,75.3,76.7
,DVC,66.5,66.4,65.8,64.7,66.9,68.2,67.1
,Jharkhand,23.3,23.8,24.5,24.5,25.0,23.2,23.3
,Odisha,78.0,78.1,86.4,89.0,78.1,75.3,77.8
,West Bengal,143.3,152.8,148.3,151.9,150.4,143.5,136.2
,Sikkim,1.1,1.4,1.5,1.5,1.7,1.5,1.3
NER,Arunachal Pradesh,2.1,2.2,2.2,2.0,2.2,2.1,2.1
Assam,22.3,22.0,22.9,22.6,20.7,21.1,18.4,
Manipur,2.3,2.1,2.2,2.2,2.3,2.3,2.1,
Meghalaya,5.3,5.3,5.2,5.1,5.2,5.2,5.3,
Mizoram,1.6,1.6,1.6,1.6,1.6,1.3,1.3,
Nagaland,2.0,2.1,2.0,2.0,2.1,1.9,2.1,
Tripura,4.0,3.8,3.7,4.1,3.9,3.9,3.8,
