Region,States,14-05-2018,15-05-2018,16-05-2018,17-05-2018,18-05-2018,19-05-2018,20-05-2018
NR,Punjab,150.1,155.8,157.8,163.0,169.0,164.8,164.4
,Haryana,122.8,139.1,126.0,145.3,156.0,139.0,144.7
,Rajasthan,220.1,222.1,218.1,222.9,220.0,221.6,221.1
,Delhi,98.0,105.9,103.2,108.5,110.4,108.8,103.7
,UP,255.7,336.1,349.1,378.6,382.1,386.4,380.0
,Uttarakhand,31.3,39.4,41.1,39.1,38.8,42.9,39.4
,HP,23.3,25.3,26.5,27.1,27.2,27.1,21.9
,J&K,43.3,42.8,44.1,41.7,39.3,35.6,41.9
,Chandigarh,4.6,5.0,5.2,5.3,5.3,5.2,4.6
WR,Chhattisgarh,73.3,75.7,80.7,83.4,82.1,84.3,84.8
,Gujarat,352.7,353.2,351.8,358.5,359.8,358.6,345.5
,MP,187.5,189.7,189.0,195.9,195.0,196.7,194.1
,Maharashtra,509.4,511.1,506.6,503.8,494.3,496.0,491.2
,Goa,10.9,10.9,10.9,10.9,10.9,10.7,10.1
,DD,7.4,7.5,7.6,6.1,7.5,7.4,7.1
,DNH,17.5,17.8,17.8,16.7,16.4,17.7,17.7
,Essar steel,4.6,3.3,3.8,3.8,6.1,5.3,10.9
SR,Andhra Pradesh,164.3,165.5,172.7,179.5,178.0,179.8,171.3
,Telangana,136.9,134.5,145.7,142.9,146.3,149.4,150.9
,Karnataka,169.3,175.3,177.3,183.5,182.6,183.7,154.5
,Kerala,70.0,74.0,71.8,72.0,72.2,73.1,63.9
,Tamil Nadu,326.3,330.7,331.0,331.6,328.0,312.0,302.1
,Pondy,8.3,8.3,8.3,8.2,8.4,8.4,7.7
ER,Bihar,54.0,78.1,83.2,85.4,86.7,86.9,76.7
,DVC,67.2,68.6,67.5,62.0,64.1,65.6,69.3
,Jharkhand,21.2,24.6,24.6,25.2,25.3,27.0,23.2
,Odisha,71.8,76.7,73.9,76.4,74.8,85.2,89.0
,West Bengal,128.2,148.4,138.3,141.4,154.5,156.8,155.2
,Sikkim,1.1,1.2,1.0,1.4,1.3,1.2,1.1
NER,Arunachal Pradesh,2.1,1.5,2.3,2.4,2.4,1.7,1.7
Assam,22.6,21.7,23.6,26.0,26.2,26.8,27.3,
Manipur,2.1,2.4,2.4,2.3,2.1,2.1,2.2,
Meghalaya,4.9,4.2,4.4,4.7,4.9,5.5,4.7,
Mizoram,1.5,1.7,1.6,1.7,1.4,1.5,1.4,
Nagaland,1.7,1.8,2.0,2.1,2.1,2.0,1.9,
Tripura,3.7,4.5,3.3,3.8,3.0,3.6,4.1,
