Region,States,19-06-2017,20-06-2017,21-06-2017,22-06-2017,23-06-2017,24-06-2017,25-06-2017
NR,Punjab,194.8,164.2,175.0,186.1,198.1,224.6,231.0
,Haryana,147.6,139.0,149.0,162.0,172.1,180.9,173.3
,Rajasthan,205.2,210.2,176.6,167.8,176.3,183.2,195.3
,Delhi,109.7,95.9,96.5,100.1,105.1,108.9,109.9
,UP,369.5,339.3,340.1,351.8,372.5,377.0,379.7
,Uttarakhand,40.7,40.5,40.2,39.2,42.5,44.2,43.0
,HP,25.4,26.6,26.7,26.3,26.1,27.2,26.0
,J&K,39.8,40.3,34.8,41.4,42.5,42.4,42.8
,Chandigarh,5.6,5.1,5.0,5.8,5.5,5.6,5.6
WR,Chhattisgarh,76.0,75.5,71.8,70.0,72.7,75.0,66.2
,Gujarat,335.1,333.2,325.8,328.1,323.2,303.3,280.3
,MP,158.8,158.0,156.6,151.0,154.8,156.8,152.7
,Maharashtra,420.0,426.8,430.4,420.7,413.3,408.3,380.3
,Goa,8.5,8.5,9.3,9.2,9.6,9.2,9.2
,DD,7.0,7.2,7.3,7.2,7.2,6.2,5.9
,DNH,16.8,17.2,17.2,18.1,16.5,16.4,15.0
,Essar steel,9.8,10.1,4.5,3.1,2.7,2.5,3.0
SR,Andhra Pradesh,144.5,144.1,146.0,151.5,148.3,140.2,133.3
,Telangana,117.2,123.8,131.3,133.3,128.8,129.2,128.3
,Karnataka,161.1,165.2,168.9,172.5,171.2,164.2,146.5
,Kerala,68.6,69.3,67.1,66.5,64.9,60.9,54.8
,Tamil Nadu,311.1,299.3,301.2,308.8,307.0,292.7,277.6
,Pondy,7.6,7.4,7.2,7.6,7.8,7.5,6.8
ER,Bihar,75.5,69.8,72.3,76.0,77.3,79.9,79.7
,DVC,64.1,60.8,61.5,62.8,64.6,64.6,66.0
,Jharkhand,21.9,18.8,19.2,21.2,22.6,22.0,21.5
,Odisha,81.5,78.5,69.9,74.0,76.2,73.2,70.7
,West Bengal,143.0,116.4,139.0,143.0,143.9,139.9,136.5
,Sikkim,1.1,1.0,0.9,0.8,1.1,1.5,0.9
NER,Arunachal Pradesh,2.0,2.0,2.5,1.7,1.9,1.8,2.0
Assam,24.5,27.1,27.9,29.8,30.2,28.3,28.3,
Manipur,2.0,1.9,2.1,2.0,2.5,2.4,2.4,
Meghalaya,4.4,4.6,4.4,4.6,4.6,4.5,4.8,
Mizoram,1.1,1.2,1.3,1.3,1.2,1.3,1.3,
Nagaland,1.8,2.0,2.6,2.1,2.2,2.4,2.5,
Tripura,4.4,5.8,4.1,4.2,4.3,4.4,4.7,
