Region,States,30-04-2018,01-05-2018,02-05-2018,03-05-2018,04-05-2018,05-05-2018,06-05-2018
NR,Punjab,145.7,147.8,133.3,128.4,137.7,148.7,129.1
,Haryana,145.7,150.6,133.2,122.6,138.7,140.7,133.2
,Rajasthan,209.2,208.8,201.6,196.1,207.9,210.9,206.2
,Delhi,102.3,104.3,100.0,93.7,97.6,98.7,95.2
,UP,294.3,333.3,320.6,252.2,318.0,345.7,329.1
,Uttarakhand,39.4,38.0,30.8,30.6,37.8,37.7,36.6
,HP,24.4,24.0,23.1,23.5,24.9,24.9,23.2
,J&K,42.2,44.1,40.1,37.8,38.2,42.1,37.3
,Chandigarh,4.9,5.0,4.7,4.4,4.9,4.8,4.0
WR,Chhattisgarh,85.2,78.4,78.8,75.5,84.6,86.2,87.0
,Gujarat,343.2,346.4,346.4,351.0,354.4,352.7,337.0
,MP,177.4,178.0,186.5,169.5,186.1,191.8,187.1
,Maharashtra,499.9,458.6,489.8,504.4,498.2,508.1,495.2
,Goa,10.8,10.8,10.8,11.4,11.5,11.5,11.2
,DD,7.2,5.2,6.5,7.4,7.5,7.5,7.0
,DNH,17.6,16.1,16.7,17.2,17.2,17.4,17.4
,Essar steel,2.1,2.5,5.7,5.9,3.6,4.2,4.2
SR,Andhra Pradesh,181.3,162.9,168.0,150.6,147.6,159.7,168.0
,Telangana,160.1,150.6,155.4,128.4,127.7,140.6,140.1
,Karnataka,215.5,202.2,209.5,196.9,187.0,203.0,193.2
,Kerala,81.4,71.8,76.3,75.0,73.1,74.2,66.6
,Tamil Nadu,338.6,296.2,315.8,323.5,314.7,320.3,303.5
,Pondy,8.3,7.2,6.8,8.1,8.3,8.2,7.6
ER,Bihar,55.2,71.4,77.5,74.7,78.0,81.9,87.7
,DVC,67.0,68.1,65.7,67.2,69.2,69.6,68.6
,Jharkhand,19.1,20.6,21.4,19.5,23.0,22.1,23.6
,Odisha,72.4,64.1,78.3,77.6,89.4,95.5,92.0
,West Bengal,136.5,124.5,139.6,139.3,154.1,160.8,156.3
,Sikkim,1.5,1.0,1.3,1.4,1.3,1.4,1.0
NER,Arunachal Pradesh,2.2,2.1,1.3,2.2,2.1,2.1,2.1
Assam,20.8,20.6,19.5,21.7,20.9,22.1,18.9,
Manipur,2.0,2.0,1.7,2.0,2.2,2.3,2.0,
Meghalaya,4.9,4.9,4.6,4.6,5.0,5.1,5.0,
Mizoram,1.3,1.3,1.4,1.5,1.6,1.7,1.6,
Nagaland,2.0,2.0,1.7,1.8,2.0,2.1,1.8,
Tripura,2.2,2.8,2.8,2.5,3.1,3.8,3.9,
