Region,States,07-02-2022,08-02-2022,09-02-2022,10-02-2022,11-02-2022,12-02-2022,13-02-2022
NR,Punjab,116.8,116.9,118.2,118.5,120.5,120.3,110.6
,Haryana,123.4,125.4,120.3,124.8,125.9,125.9,114.5
,Rajasthan,278.9,282.8,266.6,272.8,278.7,276.8,274.3
,Delhi,69.2,69.6,69.0,67.8,69.3,64.1,61.5
,UP,315.7,315.9,308.6,305.8,306.0,308.3,308.2
,Uttarakhand,41.2,42.0,44.4,42.1,42.4,40.7,38.9
,HP,33.8,33.8,34.8,33.9,33.8,33.0,29.7
,J&K,59.8,61.3,61.3,60.1,61.7,59.4,57.5
,Chandigarh,4.0,4.1,3.9,3.7,3.7,3.5,3.1
WR,Chhattisgarh,93.1,94.2,94.3,86.8,91.0,90.3,92.6
,Gujarat,354.8,363.7,357.8,354.9,359.7,357.6,350.5
,MP,300.5,303.1,299.6,292.5,293.3,294.8,293.8
,Maharashtra,518.7,528.2,517.5,527.7,521.8,528.2,516.2
,Goa,11.9,12.0,12.0,12.0,12.4,12.1,11.4
,DD,7.3,7.6,7.8,7.7,7.5,7.5,7.1
,DNH,19.7,19.9,19.9,19.9,19.8,19.7,19.3
,Essar steel,17.6,17.9,18.8,19.4,17.5,17.0,17.2
SR,Andhra Pradesh,200.1,199.6,202.9,201.0,199.4,190.9,197.5
,Telangana,212.5,217.4,217.9,218.3,219.3,215.2,213.5
,Karnataka,246.1,249.8,250.6,249.2,248.2,250.1,237.2
,Kerala,76.7,79.0,79.5,79.2,78.3,77.8,71.9
,Tamil Nadu,316.5,328.1,327.2,330.0,319.0,312.0,284.9
,Pondy,7.5,7.9,7.9,7.7,7.5,7.8,7.5
ER,Bihar,85.0,84.4,84.0,80.3,82.1,81.6,82.9
,DVC,69.1,70.2,69.0,68.5,70.5,70.2,70.3
,Jharkhand,29.9,29.6,29.9,28.6,29.6,29.6,29.8
,Odisha,102.7,104.7,108.5,109.3,108.4,107.9,107.1
,West Bengal,113.1,117.2,117.8,117.3,116.7,115.9,109.8
,Sikkim,1.9,2.0,1.9,1.9,1.9,1.8,1.5
NER,Arunachal Pradesh,2.5,2.5,2.5,2.6,2.5,2.4,2.4
Assam,25.0,25.7,25.9,25.8,25.3,24.9,23.6,
Manipur,3.6,3.6,3.6,3.7,3.5,3.3,3.4,
Meghalaya,7.7,7.7,7.7,7.5,7.4,7.4,7.0,
Mizoram,1.9,2.1,2.0,2.0,1.8,1.8,1.9,
Nagaland,2.8,2.8,2.4,2.5,2.4,2.4,2.5,
Tripura,3.6,3.6,3.7,3.7,3.7,3.6,3.7,
