Region,States,11-02-2019,12-02-2019,13-02-2019,14-02-2019,15-02-2019,16-02-2019,17-02-2019
NR,Punjab,101.4,105.8,104.8,102.9,105.3,103.6,98.7
,Haryana,118.1,123.0,122.9,111.5,116.5,118.4,107.4
,Rajasthan,233.3,236.5,236.6,227.5,230.5,233.4,227.8
,Delhi,66.8,67.1,66.5,67.0,68.5,64.9,61.6
,UP,256.7,257.5,267.0,246.1,236.4,246.0,250.5
,Uttarakhand,37.3,37.8,37.9,37.0,35.8,35.6,35.7
,HP,28.4,29.0,28.0,27.5,26.9,28.3,27.9
,J&K,50.0,49.4,46.9,46.7,38.6,42.8,42.2
,Chandigarh,3.5,3.6,3.5,3.5,3.5,3.5,3.1
WR,Chhattisgarh,85.4,86.6,82.8,89.0,85.9,70.7,82.1
,Gujarat,316.8,323.4,324.3,328.1,324.4,320.9,311.7
,MP,231.6,236.3,236.7,213.6,198.8,210.3,216.8
,Maharashtra,403.7,420.1,428.0,431.0,418.4,413.0,404.0
,Goa,12.3,12.3,12.6,11.9,11.9,11.9,11.9
,DD,6.9,7.1,7.2,7.2,7.3,7.3,6.7
,DNH,18.2,18.1,17.5,18.3,18.3,18.0,17.4
,Essar steel,9.7,10.9,11.9,11.4,10.4,11.2,13.6
SR,Andhra Pradesh,172.2,174.8,174.5,174.2,175.9,178.1,184.3
,Telangana,190.9,193.1,192.6,194.7,192.1,189.8,194.5
,Karnataka,207.9,212.3,219.5,223.2,226.2,226.8,210.2
,Kerala,72.9,73.2,74.3,74.8,75.9,76.1,70.1
,Tamil Nadu,301.7,309.9,310.6,313.9,321.4,315.8,301.0
,Pondy,7.1,7.4,7.3,7.4,7.5,7.5,6.9
ER,Bihar,70.9,72.1,68.5,69.8,70.8,66.3,68.4
,DVC,64.4,64.1,64.9,64.0,64.3,61.4,63.8
,Jharkhand,23.8,24.2,23.8,23.9,22.2,19.5,22.4
,Odisha,72.0,73.7,74.1,83.9,83.6,68.2,74.9
,West Bengal,118.7,126.9,128.7,129.3,130.4,124.7,114.6
,Sikkim,1.2,1.3,1.4,1.4,1.5,1.3,1.3
NER,Arunachal Pradesh,2.0,2.1,2.2,2.2,2.2,2.2,2.0
Assam,22.5,23.2,23.4,23.9,24.0,23.4,19.2,
Manipur,2.8,2.5,2.4,2.7,2.8,2.5,2.4,
Meghalaya,6.0,6.0,6.1,6.0,6.1,6.3,5.9,
Mizoram,2.0,2.0,1.8,1.8,1.9,1.9,1.7,
Nagaland,2.0,2.1,2.1,2.2,2.1,2.1,2.0,
Tripura,4.3,3.4,3.8,3.9,3.9,3.8,3.3,
