Region,States,22-04-2024,23-04-2024,24-04-2024,25-04-2024,26-04-2024,27-04-2024,28-04-2024
NR,Punjab,159.3,157.6,161.0,167.9,170.1,163.3,157.9
,Haryana,161.4,159.7,164.0,171.4,173.6,172.2,161.1
,Rajasthan,273.9,277.5,282.9,292.0,280.3,280.4,287.2
,Delhi,101.9,101.7,99.5,105.1,108.8,106.1,100.1
,UP,471.0,456.9,461.9,475.8,477.3,496.8,492.2
,Uttarakhand,45.3,46.0,46.8,46.7,48.1,48.0,45.3
,HP,31.3,31.8,32.4,32.7,32.9,31.3,30.5
,J&K,45.8,45.2,46.2,46.4,46.2,45.5,49.2
,Chandigarh,4.8,4.6,4.6,4.9,5.2,4.8,4.3
,Railways_NR ISTS,4.0,3.9,3.9,3.8,4.1,3.8,3.9
WR,Chhattisgarh,130.0,130.0,124.5,134.7,137.4,137.1,128.9
,Gujarat,463.1,466.6,473.0,485.0,483.2,481.8,457.8
,MP,264.3,271.2,277.2,284.6,274.1,277.8,275.9
,Maharashtra,611.7,612.5,608.2,622.6,620.0,627.4,615.6
,Goa,17.0,15.8,16.0,16.1,16.2,15.7,15.2
,DNHDDPDCL,28.6,29.2,29.5,29.5,29.6,29.6,28.5
,AMNSIL,18.1,17.0,17.7,16.5,19.5,19.9,18.9
,BALCO,12.5,12.5,12.5,12.5,12.5,12.5,12.5
SR,Andhra Pradesh,246.0,245.8,246.1,249.8,252.1,250.8,246.3
,Telangana,217.4,217.5,221.5,225.6,228.2,227.8,218.9
,Karnataka,295.2,307.8,313.5,322.6,303.6,319.4,309.9
,Kerala,104.9,106.4,107.9,109.6,104.8,110.1,104.8
,Tamil Nadu,423.8,433.6,436.7,436.3,442.3,435.1,410.1
,Pondy,10.8,10.6,10.8,11.0,11.0,11.1,10.7
ER,Bihar,134.3,132.1,131.9,129.5,139.5,139.8,141.4
,DVC,74.3,73.3,71.9,74.2,74.7,73.6,73.5
,Jharkhand,41.0,43.5,44.3,45.6,46.9,45.8,44.9
,Odisha,130.5,130.1,128.9,128.4,132.8,132.6,127.8
,West Bengal,247.0,242.5,245.2,251.2,260.4,258.2,248.9
,Sikkim,1.6,1.7,1.7,1.6,1.6,1.4,1.1
,Railways_ER ISTS,0.2,0.1,0.1,0.1,0.2,0.1,0.1
NER,Arunachal Pradesh,2.6,2.5,2.6,2.4,2.3,2.8,2.3
Assam,34.3,36.5,35.8,36.4,36.8,35.6,29.3,
Manipur,3.0,3.0,2.4,2.1,2.1,2.5,2.8,
Meghalaya,5.6,5.5,5.3,5.4,5.4,5.4,5.3,
Mizoram,1.6,1.7,2.1,2.0,1.8,1.7,1.9,
Nagaland,2.4,2.3,2.2,2.1,2.3,2.3,2.1,
Tripura,6.0,6.5,6.7,6.8,6.6,5.8,6.4,
