Region,States,15-11-2021,16-11-2021,17-11-2021,18-11-2021,19-11-2021,20-11-2021,21-11-2021
NR,Punjab,109.7,113.7,114.1,113.5,110.5,113.3,105.6
,Haryana,113.2,116.7,117.3,117.9,118.3,140.8,107.3
,Rajasthan,253.4,251.6,253.3,241.9,229.5,229.4,230.6
,Delhi,60.9,60.6,63.5,62.2,61.8,58.1,59.0
,UP,266.0,280.0,277.8,276.6,276.4,270.2,266.7
,Uttarakhand,34.7,35.1,35.5,35.5,35.5,35.6,32.5
,HP,30.2,30.9,30.9,30.6,31.5,31.2,28.4
,J&K,53.8,54.8,53.2,54.6,54.8,52.9,53.8
,Chandigarh,3.0,3.1,3.1,3.1,3.0,3.0,2.7
WR,Chhattisgarh,76.8,75.9,77.0,77.7,79.0,79.2,79.1
,Gujarat,347.7,351.4,352.5,343.8,323.8,325.8,318.9
,MP,279.1,276.2,283.6,275.6,261.4,267.4,266.2
,Maharashtra,520.8,521.4,504.7,508.9,489.5,494.8,471.7
,Goa,12.7,12.8,12.7,12.8,13.1,12.6,11.1
,DD,7.2,7.5,7.7,7.5,7.7,7.7,7.1
,DNH,19.4,19.5,19.6,19.3,19.4,19.5,19.1
,Essar steel,17.4,18.6,18.3,19.1,19.5,17.9,18.1
SR,Andhra Pradesh,156.8,156.8,155.0,148.8,141.1,141.8,139.7
,Telangana,152.9,151.0,150.1,150.5,147.3,141.5,135.5
,Karnataka,164.3,161.7,158.1,155.6,146.6,143.4,130.5
,Kerala,68.7,70.2,72.0,72.3,71.9,71.5,64.9
,Tamil Nadu,253.0,262.6,265.0,252.7,254.8,253.2,238.6
,Pondy,6.7,7.0,7.3,6.8,6.7,6.8,6.5
ER,Bihar,72.9,74.5,73.8,71.0,73.1,72.0,73.4
,DVC,63.2,62.7,64.1,64.1,64.2,64.1,64.2
,Jharkhand,25.8,26.2,26.6,27.3,27.3,27.6,27.8
,Odisha,104.4,102.0,99.0,98.3,99.4,96.5,94.5
,West Bengal,112.8,116.2,115.2,116.2,114.9,116.4,109.5
,Sikkim,1.6,1.6,1.6,1.6,1.6,1.6,1.4
NER,Arunachal Pradesh,2.3,2.2,2.1,2.3,2.2,2.3,2.3
Assam,24.7,26.0,26.6,25.6,25.8,25.5,23.8,
Manipur,2.6,2.7,2.6,2.6,2.6,2.7,2.9,
Meghalaya,6.5,6.5,6.5,6.5,6.5,6.6,6.7,
Mizoram,1.7,1.7,1.6,1.6,1.6,1.7,1.7,
Nagaland,2.3,2.1,2.3,2.4,2.4,2.4,2.2,
Tripura,3.4,3.8,3.5,3.6,3.6,3.7,3.5,
