Region,States,09-09-2019,10-09-2019,11-09-2019,12-09-2019,13-09-2019,14-09-2019,15-09-2019
NR,Punjab,237.2,251.9,255.0,264.6,259.7,259.0,248.8
,Haryana,214.1,220.1,223.2,222.6,224.4,218.5,200.9
,Rajasthan,232.7,246.5,253.5,253.0,247.4,243.3,237.1
,Delhi,128.5,126.9,134.9,137.2,132.6,125.3,116.2
,UP,421.3,437.4,424.0,426.5,393.0,390.4,393.1
,Uttarakhand,42.0,43.3,44.3,42.1,42.9,41.3,38.5
,HP,29.9,31.6,31.6,31.7,30.6,31.0,28.7
,J&K,40.0,42.8,42.9,44.9,41.3,42.2,39.7
,Chandigarh,6.4,6.4,6.7,6.7,6.4,6.0,5.5
WR,Chhattisgarh,78.9,83.8,86.5,84.7,85.4,89.1,93.9
,Gujarat,284.7,278.2,277.2,267.2,282.3,287.7,280.1
,MP,174.7,180.4,179.5,167.9,162.6,162.8,166.2
,Maharashtra,395.1,395.6,400.3,377.8,383.5,390.7,382.4
,Goa,11.0,11.8,11.8,11.8,11.9,11.8,11.8
,DD,7.1,7.4,7.3,7.3,7.4,7.3,6.8
,DNH,18.6,18.7,18.7,18.5,18.4,18.4,18.2
,Essar steel,6.0,5.7,5.0,5.5,5.5,5.8,5.8
SR,Andhra Pradesh,181.9,186.9,186.6,183.0,184.5,180.5,175.6
,Telangana,200.5,205.9,206.8,199.1,199.1,199.8,189.3
,Karnataka,187.0,191.6,189.5,194.7,193.9,190.9,185.5
,Kerala,67.1,64.5,58.9,61.2,65.2,67.2,63.1
,Tamil Nadu,318.2,329.9,313.2,289.2,291.4,288.8,262.3
,Pondy,8.3,8.8,7.9,7.4,7.3,7.4,6.8
ER,Bihar,113.0,103.6,109.1,106.4,102.7,104.2,108.6
,DVC,61.0,61.1,64.4,62.2,61.3,63.5,63.1
,Jharkhand,25.3,23.6,25.5,23.4,24.9,25.8,26.2
,Odisha,95.7,99.2,98.5,96.5,98.9,100.1,102.8
,West Bengal,166.9,173.9,174.3,162.9,160.9,166.7,164.9
,Sikkim,1.0,1.1,1.0,1.0,0.9,1.0,0.7
NER,Arunachal Pradesh,2.0,2.3,2.2,2.1,2.2,2.2,2.1
Assam,34.2,35.0,34.7,34.1,32.3,31.5,30.8,
Manipur,2.4,2.4,2.5,2.4,2.5,2.4,2.5,
Meghalaya,5.3,5.6,5.7,5.5,5.6,5.7,5.5,
Mizoram,1.7,1.8,1.7,1.8,1.2,1.8,1.7,
Nagaland,2.1,2.1,2.2,2.2,2.3,2.5,2.2,
Tripura,4.9,4.9,5.0,4.8,4.7,4.8,4.8,
