Region States,Unnamed: 0,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020
Punjab,,125.5,128.4,125.2,127.4,126.5,125.6,110.4
Haryana,,134.1,137.1,137.6,137.3,136.1,135.7,120.4
Rajasthan,,255.9,256.5,262.4,261.8,266.6,263.4,255.7
Delhi,,68.9,70.1,71.1,69.7,70.6,67.4,65.1
NR UP,,315.3,317.6,317.7,318.3,315.9,314.9,304.8
Uttarakhand,,41.6,42.1,40.8,41.5,41.6,41.3,38.8
HP,,32.7,32.7,33.5,33.4,33.5,33.9,31.2
J&K,,55.0,54.7,55.3,56.6,56.5,56.4,53.5
Chandigarh,,4.0,4.0,4.0,3.9,3.7,3.7,3.6
Chhattisgarh,,84.2,85.4,85.6,87.1,88.1,87.0,86.3
Gujarat,,337.2,340.1,337.2,342.1,344.9,345.0,333.7
MP,,284.4,290.2,293.4,293.9,299.1,298.3,297.1
Maharashtra,,444.4,450.8,451.7,452.7,449.6,459.3,450.3
WR,,,,,,,,
Goa,,9.7,9.9,9.8,10.2,9.6,9.9,9.3
DD,,7.2,7.5,7.5,7.5,7.5,7.5,7.0
DNH,,16.4,18.1,18.6,18.8,18.6,18.4,18.6
Essar steel,,17.4,18.7,18.7,19.4,19.2,18.3,19.2
Andhra Pradesh,,158.6,161.6,163.8,164.8,164.1,164.0,162.3
Telangana,,188.1,192.5,195.2,196.5,196.9,194.9,192.1
Karnataka,,205.3,206.1,213.0,214.6,210.0,212.0,199.5
SR,,,,,,,,
Kerala,,67.9,70.2,71.9,72.9,67.3,69.5,63.8
Tamil Nadu,,257.1,270.2,276.0,278.6,275.8,281.7,260.8
Pondy,,6.6,6.6,6.8,6.8,6.9,6.8,6.1
Bihar,,84.6,85.6,85.5,86.8,86.6,85.6,86.0
DVC,,66.3,64.8,67.4,66.0,65.2,65.1,64.3
Jharkhand,,26.7,26.2,25.9,26.1,27.1,27.4,27.3
ER,,,,,,,,
Odisha,,66.9,69.2,71.0,70.3,69.6,69.1,67.3
West Bengal,,112.0,114.1,116.3,116.2,111.7,112.3,110.0
Sikkim,,2.0,2.4,2.5,2.3,2.2,2.2,2.1
Arunachal Pradesh,,2.1,2.2,2.2,2.3,2.3,2.3,2.2
Assam,,22.8,22.9,23.8,23.5,23.7,23.5,24.1
Manipur,,2.8,3.1,3.1,3.4,3.1,3.1,3.0
NER Meghalaya,,6.3,6.9,6.9,7.2,6.9,7.1,6.9
Mizoram,,1.7,1.7,1.7,1.9,1.8,1.6,1.7
Nagaland,,2.2,2.3,2.3,2.3,2.3,2.2,2.8
Tripura,,3.4,3.4,3.4,3.7,3.6,3.5,3.4
