Region,States,01-07-2019,02-07-2019,03-07-2019,04-07-2019,05-07-2019,06-07-2019,07-07-2019
NR,Punjab,290.1,282.1,300.0,289.9,284.4,271.4,270.0
,Haryana,228.1,223.9,237.2,208.2,205.8,210.4,199.5
,Rajasthan,247.9,237.5,242.7,237.3,220.9,218.1,201.3
,Delhi,145.2,147.1,145.3,139.2,126.4,122.3,119.6
,UP,454.3,441.3,433.9,441.2,403.0,364.9,377.9
,Uttarakhand,46.5,45.4,47.0,45.2,45.1,44.2,42.2
,HP,29.6,30.6,31.8,30.0,29.9,29.9,25.0
,J&K,44.4,45.6,45.9,41.6,41.9,41.0,43.0
,Chandigarh,7.2,7.2,7.4,6.1,6.5,6.0,5.6
WR,Chhattisgarh,80.8,73.1,73.8,79.8,81.1,77.9,79.0
,Gujarat,330.7,339.0,331.1,318.1,322.7,321.8,305.1
,MP,172.7,167.2,156.6,161.1,157.7,154.9,157.1
,Maharashtra,376.7,380.3,387.0,392.8,386.3,382.6,367.1
,Goa,10.0,10.0,10.0,10.0,10.0,10.0,10.5
,DD,6.6,7.1,7.5,7.5,7.6,7.5,6.7
,DNH,17.4,17.8,18.5,18.8,18.6,18.6,17.3
,Essar steel,4.7,5.1,4.7,5.3,5.1,5.5,6.7
SR,Andhra Pradesh,169.9,171.9,171.4,179.4,169.3,179.4,175.1
,Telangana,144.8,145.5,146.3,152.5,152.5,150.4,147.3
,Karnataka,184.6,192.6,195.9,195.4,191.5,183.5,172.9
,Kerala,76.4,77.1,75.2,73.4,72.8,72.7,65.4
,Tamil Nadu,334.9,339.7,342.8,346.7,347.2,336.3,317.2
,Pondy,8.4,8.7,8.9,9.4,9.5,9.5,8.7
ER,Bihar,104.7,92.6,99.3,106.2,107.8,101.6,83.7
,DVC,64.6,63.2,65.3,66.3,65.5,64.0,65.3
,Jharkhand,23.4,20.2,21.9,22.7,23.4,22.6,21.5
,Odisha,76.5,74.6,80.4,81.6,81.0,79.7,80.6
,West Bengal,167.6,164.7,164.8,176.1,177.9,161.8,144.9
,Sikkim,1.1,1.2,1.2,1.2,1.2,1.0,0.8
NER,Arunachal Pradesh,2.3,2.2,2.2,2.4,2.2,2.1,2.2
Assam,33.0,31.7,30.9,35.0,34.0,30.9,26.8,
Manipur,2.5,2.6,2.4,2.5,2.6,2.3,2.4,
Meghalaya,5.6,6.0,6.2,5.9,5.8,5.6,5.9,
Mizoram,1.9,1.7,1.7,1.7,2.0,1.7,1.4,
Nagaland,2.3,2.2,2.6,2.5,2.2,2.0,2.1,
Tripura,5.3,4.8,5.0,5.1,5.6,5.2,4.3,
