Region,States,01-01-2018,02-01-2018,03-01-2018,04-01-2018,05-01-2018,06-01-2018,07-01-2018
NR,Punjab,105.4,98.4,109.4,107.6,108.0,104.0,100.3
,Haryana,109.4,116.9,122.3,122.6,125.1,123.4,108.8
,Rajasthan,202.8,206.1,207.5,214.6,212.4,211.7,209.8
,Delhi,63.7,65.7,68.0,67.5,72.0,66.7,64.6
,UP,281.9,289.0,295.4,289.8,292.6,301.5,299.0
,Uttarakhand,34.5,35.9,36.1,37.8,38.0,38.4,36.0
,HP,26.5,26.6,27.9,27.7,28.0,28.0,25.4
,J&K,46.7,46.0,46.5,46.6,46.5,46.2,45.6
,Chandigarh,3.5,3.6,3.7,3.8,3.8,3.7,3.3
WR,Chhattisgarh,71.7,73.0,71.7,71.0,72.0,71.2,71.9
,Gujarat,283.1,291.9,293.3,297.1,301.4,297.0,285.8
,MP,223.0,222.6,220.9,223.9,225.7,225.9,224.1
,Maharashtra,386.5,414.2,440.4,409.9,406.8,407.2,394.5
,Goa,9.2,9.2,9.3,9.2,9.3,9.0,8.4
,DD,5.6,6.6,7.2,7.2,7.1,7.2,5.8
,DNH,15.9,16.6,17.3,17.4,17.4,17.4,17.1
,Essar steel,8.7,7.9,8.4,9.0,9.4,8.7,9.3
SR,Andhra Pradesh,153.6,164.1,179.9,164.1,163.3,163.9,162.1
,Telangana,184.8,185.5,184.4,182.4,183.1,179.6,176.9
,Karnataka,197.1,205.0,208.5,209.0,210.1,206.9,194.8
,Kerala,64.0,65.8,65.9,66.1,66.0,65.4,59.7
,Tamil Nadu,277.3,296.6,301.5,301.4,301.4,290.0,273.9
,Pondy,5.9,6.6,6.6,6.1,6.3,6.4,5.7
ER,Bihar,74.4,70.4,67.5,70.7,69.0,72.0,72.3
,DVC,67.1,63.3,68.3,67.7,68.8,69.2,69.8
,Jharkhand,23.8,24.7,27.7,24.1,21.3,23.5,22.9
,Odisha,68.6,65.8,68.0,67.4,67.5,66.3,62.6
,West Bengal,87.3,87.9,92.1,96.6,98.5,94.8,90.9
,Sikkim,1.3,1.9,1.9,1.9,2.0,1.5,1.3
NER,Arunachal Pradesh,2.0,2.3,2.1,2.2,2.2,2.2,2.3
Assam,21.3,22.7,22.1,22.7,21.4,22.4,22.0,
Manipur,2.6,2.6,2.7,2.8,2.8,2.8,2.8,
Meghalaya,5.9,6.1,6.3,6.3,6.4,6.3,5.4,
Mizoram,1.7,1.7,1.9,1.8,1.8,1.7,1.7,
Nagaland,2.4,2.5,2.2,2.3,2.2,2.3,2.1,
Tripura,3.3,3.1,3.2,3.1,3.4,4.0,3.9,
