Region,States,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020
NR,Punjab,111.4,112.0,111.3,113.9,110.1,88.7,64.8
,Haryana,120.4,122.8,121.6,119.3,113.0,91.0,76.3
,Rajasthan,251.9,250.8,248.4,248.2,244.2,224.2,205.9
,Delhi,63.2,63.0,64.4,62.8,61.6,54.4,49.5
,UP,280.3,279.4,280.1,294.9,296.8,280.7,237.0
,Uttarakhand,35.8,35.1,36.8,36.4,33.9,27.0,24.5
,HP,29.5,29.4,28.8,29.5,27.4,21.4,18.4
,J&K,47.0,47.6,47.5,52.0,45.3,42.0,42.9
,Chandigarh,3.1,3.1,3.2,3.1,3.1,2.7,2.5
WR,Chhattisgarh,71.3,70.8,71.3,73.7,73.9,67.7,63.1
,Gujarat,355.2,352.1,343.7,337.8,317.4,265.9,247.5
,MP,279.8,284.4,283.7,286.5,286.1,275.8,259.6
,Maharashtra,439.1,437.8,429.4,436.2,436.1,396.8,387.7
,Goa,10.1,9.6,8.9,9.8,9.9,8.2,8.3
,DD,7.2,7.4,7.4,7.4,6.9,4.2,3.3
,DNH,18.1,18.3,18.2,18.1,17.7,12.6,12.1
,Essar steel,17.8,17.5,17.6,16.4,17.8,17.5,17.5
SR,Andhra Pradesh,170.4,170.9,173.2,163.7,157.4,157.4,152.0
,Telangana,138.9,137.8,138.9,139.9,142.4,132.5,130.0
,Karnataka,188.7,190.1,193.0,197.2,194.6,171.9,160.6
,Kerala,73.5,74.3,72.5,72.8,72.3,69.3,66.0
,Tamil Nadu,290.0,300.6,301.4,299.1,259.9,197.1,194.6
,Pondy,7.3,7.9,7.5,7.7,7.1,5.0,5.4
ER,Bihar,71.3,73.9,71.9,74.1,76.0,78.5,77.7
,DVC,62.8,63.6,63.9,63.6,65.4,64.4,62.2
,Jharkhand,24.4,24.6,25.4,25.1,25.4,26.2,26.2
,Odisha,80.0,69.9,69.8,72.9,71.2,69.6,69.4
,West Bengal,114.8,118.9,123.0,120.9,121.8,113.5,106.1
,Sikkim,1.5,1.5,1.5,1.5,1.5,1.3,1.2
NER,Arunachal Pradesh,2.1,2.1,2.1,2.1,2.2,2.2,2.1
Assam,23.4,24.9,25.3,24.9,25.6,23.5,22.0,
Manipur,2.7,2.7,2.6,2.6,2.5,2.9,3.0,
Meghalaya,5.5,5.8,5.6,5.7,5.6,5.7,5.3,
Mizoram,1.5,1.5,1.6,1.5,1.5,1.7,1.7,
Nagaland,2.4,2.4,2.3,2.1,2.1,2.2,2.1,
Tripura,3.9,4.1,3.8,3.9,4.1,4.0,3.9,
