Region,States,17-01-2022,18-01-2022,19-01-2022,20-01-2022,21-01-2022,22-01-2022,23-01-2022
NR,Punjab,124.0,122.5,118.8,129.3,128.8,110.9,110.9
,Haryana,123.0,127.1,128.6,125.8,127.1,104.7,104.7
,Rajasthan,257.8,260.9,267.1,269.2,267.5,243.4,243.4
,Delhi,78.0,79.8,79.6,77.7,79.1,67.0,67.0
,UP,322.4,335.7,340.5,334.0,333.1,292.2,292.2
,Uttarakhand,43.0,43.1,43.9,43.8,43.1,40.5,40.5
,HP,35.0,34.4,35.9,35.0,35.8,31.5,31.5
,J&K,64.2,63.9,63.7,62.0,63.2,61.7,61.7
,Chandigarh,4.4,4.5,4.5,4.5,4.2,4.0,4.0
WR,Chhattisgarh,77.7,80.2,81.5,82.9,83.9,84.7,81.6
,Gujarat,358.9,363.9,358.2,363.1,357.0,347.0,337.0
,MP,225.1,235.1,243.0,249.7,260.1,238.3,237.7
,Maharashtra,481.5,493.2,495.3,496.2,498.8,492.0,475.3
,Goa,11.4,11.7,11.9,11.9,12.0,11.9,10.4
,DD,7.2,7.3,7.5,7.3,7.4,7.5,7.2
,DNH,19.2,18.4,18.0,18.4,19.4,19.5,19.2
,Essar steel,14.5,14.2,15.4,16.6,17.5,18.3,19.3
SR,Andhra Pradesh,164.1,171.7,174.9,176.5,183.6,188.0,186.9
,Telangana,182.6,193.4,199.1,203.1,205.4,204.8,201.5
,Karnataka,234.7,225.9,229.0,233.1,232.1,231.9,213.8
,Kerala,76.3,77.2,77.1,77.2,77.5,76.5,67.4
,Tamil Nadu,272.1,287.7,294.1,297.9,306.0,307.9,281.1
,Pondy,6.8,7.1,7.2,7.4,7.6,7.5,6.9
ER,Bihar,85.7,89.8,92.5,95.7,91.2,86.8,80.9
,DVC,66.5,69.0,66.9,69.2,68.9,70.1,68.0
,Jharkhand,29.6,29.2,30.4,30.9,31.9,31.5,29.2
,Odisha,97.2,100.3,100.6,101.3,98.3,99.4,98.0
,West Bengal,114.8,119.0,121.5,122.0,123.3,118.3,112.2
,Sikkim,1.8,1.8,1.9,1.9,1.6,1.9,1.6
NER,Arunachal Pradesh,2.3,2.3,2.3,2.4,2.4,2.4,2.7
Assam,24.2,23.9,25.2,25.0,25.0,25.1,24.7,
Manipur,3.5,3.4,3.4,3.4,3.3,3.4,3.4,
Meghalaya,6.9,7.2,7.1,7.4,7.5,7.5,7.6,
Mizoram,1.9,1.9,1.8,1.8,1.9,1.9,2.0,
Nagaland,2.3,2.3,2.3,2.3,2.6,2.6,2.3,
Tripura,3.7,3.7,3.6,3.8,3.7,3.6,3.6,
