Region,States,11-04-2022,12-04-2022,13-04-2022,14-04-2022,15-04-2022,16-04-2022,17-04-2022
NR,Punjab,158.5,159.3,165.8,151.5,152.5,161.1,151.4
,Haryana,150.1,155.5,160.0,153.4,156.7,157.9,147.1
,Rajasthan,263.2,258.5,248.6,258.7,263.0,265.8,264.7
,Delhi,108.8,110.0,108.8,105.5,104.7,103.3,101.7
,UP,424.4,431.7,433.2,421.5,406.6,421.7,422.4
,Uttarakhand,41.7,40.7,41.9,41.2,40.7,38.2,39.9
,HP,31.9,33.4,33.6,32.7,30.7,33.0,30.7
,J&K,48.6,49.5,46.1,46.3,50.1,47.6,50.1
,Chandigarh,5.0,5.3,5.5,4.7,4.6,4.6,4.3
WR,Chhattisgarh,120.6,122.6,120.5,123.9,123.7,125.0,123.4
,Gujarat,426.2,433.3,431.7,438.8,428.6,433.8,418.1
,MP,268.8,257.0,261.5,275.4,278.1,278.0,275.9
,Maharashtra,591.6,598.2,594.2,601.0,609.8,609.7,591.4
,Goa,13.5,14.5,14.7,14.1,14.1,14.3,13.8
,DD,7.7,8.0,8.1,8.0,8.1,8.0,7.3
,DNH,20.5,20.5,20.1,20.4,20.2,20.1,19.9
,Essar steel,17.2,17.1,16.7,16.9,16.2,16.9,16.9
SR,Andhra Pradesh,209.4,208.8,209.2,213.0,211.6,210.5,200.7
,Telangana,252.3,254.6,250.5,223.3,239.6,243.7,235.7
,Karnataka,270.5,269.3,262.1,236.1,213.2,212.7,190.5
,Kerala,78.9,78.0,76.7,73.0,69.6,80.3,76.2
,Tamil Nadu,339.2,345.0,336.8,313.2,324.1,335.8,296.9
,Pondy,8.6,9.0,8.7,8.0,8.8,9.3,8.6
ER,Bihar,114.1,117.3,121.0,122.4,118.8,123.6,125.2
,DVC,74.9,75.0,78.8,79.7,78.5,79.4,78.5
,Jharkhand,33.4,32.7,32.5,35.7,36.6,37.0,36.0
,Odisha,125.4,120.3,117.3,120.6,116.9,121.6,121.1
,West Bengal,186.4,194.6,195.6,193.2,187.1,197.2,186.4
,Sikkim,1.6,1.8,1.7,1.7,1.7,1.4,1.2
NER,Arunachal Pradesh,2.4,2.4,2.2,2.2,1.5,2.0,2.1
Assam,23.2,27.8,28.6,22.1,19.8,20.7,21.2,
Manipur,2.6,2.6,2.4,2.3,1.9,2.3,2.4,
Meghalaya,5.5,6.2,5.8,4.9,4.7,5.1,4.7,
Mizoram,1.7,1.8,1.7,1.7,1.5,1.7,1.7,
Nagaland,2.4,2.5,1.9,2.3,1.7,2.1,2.1,
Tripura,4.0,4.9,5.5,5.0,4.8,5.0,5.2,
