Region,States,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021
NR,Punjab,110.9,117.1,116.5,115.5,116.3,115.6,111.1
,Haryana,118.8,127.3,125.1,123.9,124.5,122.0,111.0
,Rajasthan,214.9,219.6,222.2,224.9,227.3,226.9,226.6
,Delhi,68.9,68.2,66.6,65.0,66.3,61.3,60.9
,UP,274.9,274.7,266.3,261.9,263.1,260.4,254.8
,Uttarakhand,32.7,33.8,34.2,34.9,34.7,35.0,34.1
,HP,30.1,36.3,32.6,32.3,32.7,32.1,31.0
,J&K,47.6,49.6,49.6,50.2,50.5,48.2,47.2
,Chandigarh,3.1,3.1,3.1,3.1,3.1,3.0,2.8
WR,Chhattisgarh,89.6,88.4,87.4,86.6,85.5,85.4,84.5
,Gujarat,376.8,382.1,379.0,379.1,374.7,365.6,351.0
,MP,201.5,205.7,207.4,206.2,209.8,214.0,216.1
,Maharashtra,482.8,492.3,491.9,491.8,484.5,488.4,484.0
,Goa,12.4,13.3,13.8,13.3,13.8,14.2,12.9
,DD,7.6,7.9,0.0,7.9,7.8,7.4,7.3
,DNH,19.6,19.8,19.9,19.9,19.6,18.5,19.0
,Essar steel,17.6,17.9,18.1,17.8,17.8,17.9,17.4
SR,Andhra Pradesh,187.4,190.2,194.0,196.1,184.7,176.1,172.1
,Telangana,192.7,192.7,190.2,189.4,188.7,177.7,171.3
,Karnataka,177.7,180.4,180.8,188.1,187.7,183.2,172.2
,Kerala,72.9,73.9,72.7,73.4,74.0,73.1,66.9
,Tamil Nadu,294.7,304.4,311.1,303.6,296.6,283.8,264.9
,Pondy,8.1,8.3,8.5,8.2,7.8,7.7,7.3
ER,Bihar,93.1,92.2,88.3,83.9,80.5,78.0,75.9
,DVC,67.7,67.4,68.8,68.0,67.7,67.7,68.4
,Jharkhand,26.4,26.3,28.5,28.0,26.0,25.7,25.1
,Odisha,107.1,116.5,118.7,114.7,115.0,118.5,113.4
,West Bengal,139.9,143.7,143.1,140.6,142.4,134.0,123.4
,Sikkim,1.5,1.5,1.5,1.5,1.5,1.6,1.5
NER,Arunachal Pradesh,2.3,2.3,2.3,2.1,2.1,2.0,1.9
Assam,30.4,31.0,31.2,31.1,30.6,30.1,29.1,
Manipur,2.6,2.6,2.7,2.6,2.6,2.5,2.4,
Meghalaya,5.9,6.1,6.3,6.6,6.1,6.7,6.3,
Mizoram,1.5,1.6,1.9,1.7,1.6,1.7,1.5,
Nagaland,2.4,2.4,2.5,2.1,2.2,2.1,2.0,
Tripura,4.5,4.6,4.5,4.7,4.9,4.8,4.2,
