Region,States,12-09-2016,13-09-2016,14-09-2016,15-09-2016,16-09-2016,17-09-2016,18-09-2016
NR,Punjab,221.0,222.4,211.5,210.8,215.1,211.8,210.1
,Haryana,178.6,180.3,179.8,179.2,179.6,176.2,170.7
,Rajasthan,206.9,198.4,209.0,205.6,204.1,210.1,203.2
,Delhi,102.3,105.6,104.6,106.6,105.6,103.7,99.2
,UP,333.0,331.3,326.6,331.4,323.0,319.8,315.9
,Uttarakhand,38.2,35.0,37.8,40.0,40.3,37.7,36.7
,HP,26.9,27.6,27.5,28.7,27.1,24.6,24.8
,J&K,33.5,36.4,33.4,35.4,37.2,36.4,35.8
,Chandigarh,5.9,5.5,5.6,5.6,5.7,5.4,5.1
WR,Chhattisgarh,70.9,73.3,71.4,77.1,79.4,73.5,76.9
,Gujarat,325.3,329.0,333.6,317.0,318.2,317.5,293.8
,MP,178.1,180.5,173.2,168.1,163.5,152.5,151.2
,Maharashtra,450.7,436.2,404.8,355.7,347.8,336.5,330.5
,Goa,8.2,8.9,9.0,8.8,9.8,7.0,7.7
,DD,6.7,7.1,7.0,7.0,7.1,6.7,6.5
,DNH,17.4,17.0,17.1,17.1,16.9,16.6,16.9
,Essar steel,12.0,12.3,11.3,11.5,11.3,8.2,10.3
SR,Andhra Pradesh,151.3,146.8,140.8,135.8,138.1,138.2,141.2
,Telangana,146.6,137.2,129.7,126.3,130.0,130.8,134.8
,Karnataka,196.8,193.6,177.5,169.8,171.4,171.4,169.8
,Kerala,62.8,61.6,56.0,58.8,60.8,62.2,58.2
,Tamil Nadu,292.0,300.6,297.3,298.0,292.2,284.6,280.6
,Pondy,6.5,6.8,6.7,6.8,6.8,6.7,6.5
ER,Bihar,63.9,71.7,71.3,72.0,70.9,65.9,68.0
,DVC,62.4,62.0,63.0,62.7,62.8,57.9,57.9
,Jharkhand,21.0,21.5,20.4,21.3,21.9,21.6,21.0
,Odisha,73.3,74.2,75.3,75.4,75.0,76.0,77.1
,West Bengal,151.3,140.1,141.9,148.2,151.2,136.4,131.5
,Sikkim,1.2,1.4,1.1,1.2,1.3,1.3,1.3
NER,Arunachal Pradesh,2.0,2.1,1.9,1.9,1.9,1.8,1.9
Assam,29.5,28.4,28.9,29.7,29.1,28.8,27.3,
Manipur,1.9,2.0,1.9,1.9,2.1,1.8,1.8,
Meghalaya,4.1,4.1,5.6,5.0,5.1,4.9,4.3,
Mizoram,1.2,1.2,1.4,1.1,1.1,1.1,1.1,
Nagaland,2.0,1.8,1.9,1.8,1.8,1.8,1.8,
Tripura,4.1,4.2,4.3,4.1,3.9,4.1,4.1,
