Region,States,27-02-2017,28-02-2017,01-03-2017,02-03-2017,03-03-2017,04-03-2017,05-03-2017
NR,Punjab,111.7,112.6,114.3,116.1,115.5,114.7,108.1
,Haryana,119.8,129.3,128.8,127.3,130.3,133.7,123.9
,Rajasthan,206.9,212.8,215.7,204.9,211.0,208.5,204.2
,Delhi,62.6,59.8,60.7,61.2,61.0,57.4,55.4
,UP,280.4,284.4,283.4,280.8,292.6,288.4,284.8
,Uttarakhand,34.9,34.4,33.4,31.8,34.3,34.2,32.0
,HP,27.5,28.2,29.1,29.2,29.8,29.0,26.1
,J&K,40.5,42.5,42.5,40.0,43.0,43.2,41.4
,Chandigarh,3.2,3.2,3.3,3.2,3.3,3.2,2.9
WR,Chhattisgarh,82.4,82.7,84.5,83.1,85.1,85.9,85.4
,Gujarat,300.9,302.2,300.0,304.7,301.6,301.4,289.9
,MP,198.5,198.6,199.6,198.1,198.7,195.8,188.9
,Maharashtra,455.9,462.9,464.4,464.8,459.6,460.0,441.8
,Goa,10.2,9.7,9.3,9.7,9.5,9.4,8.7
,DD,7.0,7.1,7.0,7.0,7.0,6.9,6.7
,DNH,16.7,16.4,16.3,16.6,16.6,16.8,16.5
,Essar steel,8.9,9.2,7.2,7.0,7.0,7.3,7.8
SR,Andhra Pradesh,161.1,162.0,160.6,160.8,160.8,161.8,161.0
,Telangana,173.7,176.0,176.8,177.7,177.4,175.0,175.2
,Karnataka,210.8,213.1,215.5,218.7,221.8,224.5,211.4
,Kerala,70.6,70.5,70.3,70.2,71.0,68.1,63.2
,Tamil Nadu,292.7,294.3,293.4,296.3,296.1,289.2,271.0
,Pondy,6.1,6.3,6.5,6.5,6.7,6.7,6.0
ER,Bihar,58.9,58.9,57.0,56.0,61.4,63.2,64.4
,DVC,62.7,63.0,63.2,63.7,63.6,60.3,63.6
,Jharkhand,21.9,24.6,23.8,23.8,23.4,22.0,22.1
,Odisha,72.1,73.7,76.1,76.7,70.3,75.1,74.5
,West Bengal,121.5,123.2,124.5,125.7,130.4,122.3,114.0
,Sikkim,1.9,1.8,1.7,1.6,1.5,1.4,1.9
NER,Arunachal Pradesh,2.4,2.0,2.1,2.1,2.0,1.7,1.9
,Assam,22.1,22.2,22.5,23.5,22.3,20.5,19.0,
,Manipur,2.2,2.1,3.0,2.1,1.9,1.8,2.0,
,Meghalaya,5.8,5.6,4.6,5.5,5.2,5.0,4.4,
,Mizoram,1.4,1.4,1.4,1.4,1.4,1.3,1.4,
,Nagaland,1.8,2.0,1.7,1.9,1.1,1.3,1.8,
,Tripura,3.4,3.9,3.3,3.2,3.4,3.8,2.4,
