Region,States,22-05-2023,23-05-2023,24-05-2023,25-05-2023,26-05-2023,27-05-2023,28-05-2023
NR,Punjab,214.4,233.4,180.0,153.8,160.6,158.7,161.2
,Haryana,203.4,205.4,175.5,161.6,161.1,143.0,146.8
,Rajasthan,327.3,330.9,277.0,225.0,195.1,230.7,213.8
,Delhi,129.9,135.0,119.1,111.5,103.8,97.4,98.0
,UP,521.7,507.1,453.1,441.6,391.7,371.2,399.3
,Uttarakhand,49.8,48.0,35.2,40.9,43.5,44.3,42.4
,HP,30.8,31.4,29.7,24.7,29.3,30.3,26.4
,J&K,56.7,57.0,52.1,52.0,54.7,55.2,55.9
,Chandigarh,6.5,6.9,6.0,5.0,5.0,4.8,4.7
,Railways_NR ISTS,3.9,3.9,3.9,3.7,3.7,3.8,3.7
WR,Chhattisgarh,106.6,109.0,107.7,108.9,106.9,97.8,97.9
,Gujarat,446.3,453.7,451.1,445.9,439.6,432.4,409.5
,MP,256.4,266.8,268.3,262.1,239.2,251.4,230.0
,Maharashtra,590.0,594.7,600.8,592.7,587.9,586.9,568.1
,Goa,15.0,14.8,15.8,16.0,17.0,15.3,13.6
,DNHDDPDCL,28.6,29.1,28.8,27.5,27.9,28.6,28.2
,AMNSIL,17.0,17.3,18.9,18.9,17.5,17.6,18.9
,BALCO,12.4,12.4,12.4,12.4,12.4,12.4,12.4
SR,Andhra Pradesh,233.0,233.3,243.0,235.8,237.2,244.2,233.8
,Telangana,179.1,193.3,194.7,193.7,195.0,198.2,191.7
,Karnataka,236.5,246.1,242.8,245.8,253.7,259.8,246.6
,Kerala,88.6,91.5,94.6,94.0,92.7,92.1,87.5
,Tamil Nadu,360.7,382.9,384.3,385.4,375.5,369.8,345.2
,Pondy,10.8,10.7,10.8,11.0,10.7,10.8,10.4
ER,Bihar,130.3,106.8,110.7,109.8,103.5,101.9,122.2
,DVC,76.0,74.9,76.7,71.1,65.3,71.9,74.3
,Jharkhand,32.7,34.0,36.0,30.7,27.3,29.0,32.5
,Odisha,118.2,120.1,126.3,120.0,124.2,113.6,116.0
,West Bengal,201.3,195.2,181.4,189.5,161.6,171.6,172.6
,Sikkim,1.5,1.5,1.4,1.5,1.5,1.8,1.7
,Railways_ER ISTS*,0.2,0.1,0.1,0.1,0.1,0.2,0.2
NER,Arunachal Pradesh,2.6,2.6,2.5,2.5,2.6,2.5,2.6
Assam,30.9,34.0,32.3,36.3,30.1,31.3,34.0,
Manipur,2.3,2.5,2.4,2.4,2.2,2.4,2.3,
Meghalaya,4.5,4.6,4.9,5.0,4.9,5.3,5.2,
Mizoram,1.8,1.9,1.9,1.8,1.7,1.8,1.8,
Nagaland,2.5,2.5,2.6,2.6,2.5,2.4,2.5,
Tripura,4.9,4.3,4.0,5.0,5.0,4.5,4.8,
ALL INDIA TOTAL,4735.0,4799.3,4588.5,4447.8,4294.1,4296.7,4218.4,
*Railways_ER ISTS added as an entity w.e.f 30.04.2023,,,,,,,,
