Region,States,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021
NR,Punjab,111.3,99.7,119.1,123.3,125.2,130.5,133.2
,Haryana,119.3,114.7,122.5,125.7,123.9,125.7,112.7
,Rajasthan,216.2,196.3,203.9,212.0,210.1,208.1,199.7
,Delhi,72.8,71.2,70.2,70.0,69.2,68.2,65.0
,UP,323.9,298.5,303.5,326.3,320.2,324.5,321.3
,Uttarakhand,37.1,37.8,38.7,38.4,38.1,37.8,33.8
,HP,29.4,30.6,31.5,31.0,31.6,30.5,27.2
,J&K,49.5,45.9,50.1,51.3,49.3,48.9,47.7
,Chandigarh,3.4,3.3,3.2,3.2,3.2,3.1,3.0
WR,Chhattisgarh,108.1,107.3,104.6,108.6,111.3,112.1,109.3
,Gujarat,392.2,397.3,392.1,392.1,395.2,395.1,373.0
,MP,217.0,211.4,214.1,222.4,222.6,225.6,223.6
,Maharashtra,507.2,499.1,522.8,534.0,539.8,547.6,543.5
,Goa,12.1,12.0,11.9,12.1,12.7,12.6,11.7
,DD,7.5,7.8,7.9,7.7,7.7,7.7,7.0
,DNH,17.5,19.5,20.0,20.1,19.9,20.0,19.3
,Essar steel,18.4,18.2,17.8,17.4,18.2,17.8,17.6
SR,Andhra Pradesh,216.1,217.2,216.8,218.3,219.1,220.7,218.7
,Telangana,273.7,275.0,278.2,277.9,281.4,281.5,277.1
,Karnataka,262.0,267.6,269.4,272.0,272.0,276.0,259.2
,Kerala,83.2,86.4,87.5,85.9,87.1,87.2,77.5
,Tamil Nadu,345.8,355.0,355.6,359.1,360.6,362.0,334.2
,Pondy,8.4,8.3,8.6,8.5,8.8,8.6,8.1
ER,Bihar,100.3,104.6,103.0,98.1,100.8,96.1,98.7
,DVC,70.2,70.9,72.1,71.4,70.8,71.8,71.4
,Jharkhand,27.4,28.3,27.8,29.3,29.5,28.4,29.4
,Odisha,108.4,109.4,109.0,110.4,100.7,92.2,92.5
,West Bengal,176.7,183.0,187.8,185.7,185.3,180.9,169.3
,Sikkim,1.1,1.2,1.0,1.1,1.1,1.1,0.9
NER,Arunachal Pradesh,2.3,2.3,2.3,2.3,2.1,2.0,2.2
,Assam,28.2,29.6,29.9,27.7,29.3,28.3,27.1,
,Manipur,2.4,2.4,2.7,2.3,2.3,2.4,2.6,
,Meghalaya,4.3,5.3,5.9,5.8,5.8,6.1,5.9,
,Mizoram,1.6,1.6,1.6,1.5,1.5,1.6,1.5,
,Nagaland,2.3,2.3,2.2,2.2,2.0,2.0,2.2,
,Tripura,4.6,4.4,4.7,4.6,4.4,4.4,4.0,
