Region,States,07-08-2023,08-08-2023,09-08-2023,10-08-2023,11-08-2023,12-08-2023,13-08-2023
NR,Punjab,312.6,321.9,320.2,317.7,319.1,323.5,329.1
,Haryana,237.7,249.0,253.0,253.4,249.9,258.2,249.5
,Rajasthan,308.7,316.7,324.7,326.4,330.4,345.6,347.2
,Delhi,128.8,129.5,129.4,132.0,134.8,129.3,122.8
,UP,460.4,488.5,501.9,505.2,530.2,544.5,529.7
,Uttarakhand,44.6,45.7,45.6,45.0,46.0,47.1,43.6
,HP,34.4,35.6,36.6,36.5,34.8,34.9,31.8
,J&K,49.9,52.2,53.6,51.3,51.6,52.5,51.6
,Chandigarh,7.1,7.1,7.3,7.1,6.9,6.6,6.3
,Railways_NR ISTS,3.3,3.2,3.4,3.4,3.4,3.4,3.2
WR,Chhattisgarh,100.0,108.2,113.3,115.0,122.5,126.7,132.2
,Gujarat,381.0,394.1,395.2,401.7,408.6,409.9,396.1
,MP,222.1,236.1,248.0,258.7,265.5,270.5,266.2
,Maharashtra,515.7,536.7,540.0,544.2,548.0,554.5,545.1
,Goa,13.4,13.7,13.3,13.6,13.9,13.3,12.6
,DNHDDPDCL,29.7,30.1,30.6,30.9,30.8,30.3,27.1
,AMNSIL,19.4,19.1,18.5,18.1,18.9,19.5,20.3
,BALCO,12.4,12.4,12.4,12.4,12.4,12.4,12.4
SR,Andhra Pradesh,239.1,236.8,235.6,236.4,231.0,225.5,229.9
,Telangana,258.5,259.7,260.2,262.8,272.6,267.2,274.4
,Karnataka,235.8,242.6,249.3,252.7,254.2,258.2,245.9
,Kerala,83.2,84.2,83.2,85.2,85.7,84.4,77.7
,Tamil Nadu,385.7,389.7,381.5,358.5,352.1,338.5,316.4
,Pondy,10.7,10.7,10.2,9.7,9.7,9.4,9.5
ER,Bihar,120.3,121.6,107.1,123.0,137.6,134.3,135.4
,DVC,72.1,70.0,73.1,74.9,75.0,74.5,73.3
,Jharkhand,33.8,35.1,36.0,35.5,36.3,39.1,39.0
,Odisha,120.2,119.2,118.9,124.7,122.7,120.8,120.7
,West Bengal,185.8,182.0,195.9,204.4,205.8,200.5,184.7
,Sikkim,1.0,1.1,1.1,1.3,1.3,1.3,1.2
,Railways_ER ISTS*,0.1,0.1,0.1,0.2,0.2,0.2,0.2
NER,Arunachal Pradesh,2.9,2.9,3.0,3.0,3.0,2.9,2.7
Assam,40.3,42.2,42.3,44.2,45.0,43.6,40.2,
Manipur,2.5,2.3,2.6,2.5,2.5,2.5,2.6,
Meghalaya,5.1,5.2,5.2,5.3,5.3,5.2,5.5,
Mizoram,1.6,1.8,1.8,1.8,1.9,2.1,1.8,
Nagaland,2.7,2.8,2.9,2.8,3.1,3.0,2.8,
Tripura,4.7,4.6,5.2,5.4,5.5,5.3,5.4,
ALL INDIA TOTAL,4687.0,4814.7,4862.3,4906.8,4977.9,5001.1,4895.9,
*Railways_ER ISTS added as an entity w.e.f 30.04.2023,,,,,,,,
