Region,States,05-09-2022,06-09-2022,07-09-2022,08-09-2022,09-09-2022,10-09-2022,11-09-2022
NR,Punjab,311.1,296.3,308.7,306.2,306.1,305.9,299.5
,Haryana,248.7,250.2,256.8,256.0,257.9,250.6,232.7
,Rajasthan,299.3,306.3,312.6,321.2,328.9,326.6,309.7
,Delhi,131.8,133.2,134.1,136.8,139.0,133.8,125.2
,UP,510.9,525.4,532.6,532.0,534.1,537.8,522.1
,Uttarakhand,46.3,47.7,48.5,48.3,49.0,47.0,44.2
,HP,32.1,33.8,34.6,35.8,36.3,34.7,31.1
,J&K,47.0,48.7,49.3,51.8,52.2,50.1,46.5
,Chandigarh,6.9,6.9,6.9,7.0,7.1,6.6,6.1
WR,Chhattisgarh,108.1,113.8,113.8,116.9,117.7,116.7,108.9
,Gujarat,405.9,414.5,422.2,425.6,395.7,380.8,339.4
,MP,221.3,225.6,238.1,238.5,246.4,243.8,239.4
,Maharashtra,475.9,484.5,480.5,470.2,445.8,456.7,446.2
,Goa,12.3,12.6,12.4,12.7,12.8,12.5,11.8
,DNHDDPDCL,27.6,28.1,28.4,26.9,27.2,27.3,27.0
,Essar steel,16.6,15.0,14.9,14.2,14.7,14.0,13.6
SR,Andhra Pradesh,208.0,205.9,196.7,180.4,178.9,171.3,167.5
,Telangana,226.8,223.4,214.9,195.0,179.7,163.0,146.5
,Karnataka,168.6,163.7,161.5,162.4,162.4,155.1,132.3
,Kerala,74.2,70.9,67.9,60.5,64.7,66.6,64.9
,Tamil Nadu,290.8,304.9,298.6,290.8,295.9,299.8,279.3
,Pondy,8.9,9.0,8.8,8.9,9.0,9.1,8.5
ER,Bihar,129.6,131.3,131.2,129.7,132.6,131.4,124.8
,DVC,71.6,71.5,74.7,73.2,73.9,74.1,72.7
,Jharkhand,32.7,32.1,34.9,31.6,32.0,34.0,32.3
,Odisha,131.4,131.3,128.7,127.5,125.6,122.1,122.6
,West Bengal,194.9,190.4,194.8,192.3,200.2,190.6,162.6
,Sikkim,1.6,1.6,1.6,1.7,1.7,1.5,1.1
NER,Arunachal Pradesh,2.2,2.2,2.2,2.3,2.2,2.3,2.3
,Assam,37.8,40.4,41.2,42.7,42.7,41.2,40.1,
,Manipur,2.8,2.7,2.7,2.7,2.8,2.7,2.6,
,Meghalaya,5.9,5.8,5.7,5.7,6.0,6.0,6.1,
,Mizoram,1.6,1.6,1.7,1.6,1.6,1.7,1.3,
,Nagaland,2.6,2.6,2.7,2.8,2.9,2.8,2.4,
,Tripura,5.3,5.8,5.5,5.9,4.9,4.6,4.6,
