Region,States,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021
NR,Punjab,145.5,146.8,140.9,127.3,137.2,137.2,138.3
,Haryana,134.5,134.1,132.8,125.3,132.2,131.8,129.2
,Rajasthan,223.2,218.1,211.1,207.7,216.6,217.7,222.4
,Delhi,74.6,77.9,77.7,71.6,73.0,72.8,73.6
,UP,344.8,362.1,340.1,310.5,343.6,355.4,372.9
,Uttarakhand,34.8,35.2,33.6,32.3,33.8,35.0,33.1
,HP,26.8,26.6,27.1,25.6,26.6,26.9,24.2
,J&K,49.0,44.1,48.1,49.1,39.7,46.8,50.1
,Chandigarh,3.9,3.9,3.7,3.4,3.2,3.6,3.5
WR,Chhattisgarh,72.3,69.2,76.5,75.7,78.2,81.0,85.8
,Gujarat,373.0,373.2,365.4,368.1,360.2,365.7,332.8
,MP,210.2,206.2,213.2,215.0,218.8,221.7,206.8
,Maharashtra,508.9,515.4,515.3,512.0,503.2,479.0,401.8
,Goa,10.8,11.1,10.9,10.6,9.7,10.5,3.8
,DD,6.1,6.5,6.3,6.3,6.3,6.3,5.1
,DNH,15.8,16.0,16.1,15.9,15.6,15.9,14.9
,Essar steel,17.8,16.8,18.7,18.5,18.1,18.2,18.8
SR,Andhra Pradesh,207.4,195.2,178.9,188.3,187.8,186.4,182.8
,Telangana,166.5,165.3,153.9,154.4,156.2,147.8,137.2
,Karnataka,196.8,190.8,188.3,183.5,180.9,159.6,144.3
,Kerala,73.1,72.1,69.4,65.2,54.2,48.7,52.7
,Tamil Nadu,319.2,329.3,330.5,315.8,306.6,288.2,270.4
,Pondy,8.8,9.0,9.2,8.9,8.4,7.7,7.3
ER,Bihar,88.5,95.7,74.9,77.7,97.5,110.0,115.6
,DVC,62.6,64.4,62.5,62.7,64.9,65.8,64.8
,Jharkhand,25.3,24.8,23.3,21.6,26.3,27.5,28.1
,Odisha,93.3,81.4,86.3,80.3,87.2,94.1,97.1
,West Bengal,142.5,135.5,128.3,129.9,141.7,161.7,160.8
,Sikkim,1.0,1.0,0.9,0.9,1.0,1.0,0.8
NER,Arunachal Pradesh,2.2,2.3,2.3,2.4,2.2,2.3,2.1
,Assam,26.4,26.4,24.8,23.9,24.0,22.6,23.3,
,Manipur,2.3,2.6,2.4,2.4,2.2,2.5,2.4,
,Meghalaya,5.7,5.7,5.6,5.4,5.7,5.6,5.6,
,Mizoram,1.4,1.5,1.5,1.5,1.6,1.5,1.6,
,Nagaland,2.2,2.2,2.2,2.1,2.2,2.2,2.2,
,Tripura,4.2,4.0,4.7,4.1,4.0,4.4,4.0,
