Region,States,04-09-2023,05-09-2023,06-09-2023,07-09-2023,08-09-2023,09-09-2023,10-09-2023
NR,Punjab,317.7,310.6,330.6,333.8,340.0,338.9,338.1
,Haryana,262.6,263.1,261.2,256.2,254.7,241.9,201.7
,Rajasthan,371.6,365.2,350.6,346.4,345.8,340.8,335.0
,Delhi,135.8,141.3,138.6,130.1,127.0,113.1,96.6
,UP,559.9,559.8,527.8,522.6,467.5,396.6,366.3
,Uttarakhand,49.6,49.4,51.4,51.0,46.8,47.0,38.1
,HP,35.6,34.9,35.8,35.9,36.0,35.0,32.9
,J&K,52.7,48.8,51.9,52.4,52.4,48.6,51.2
,Chandigarh,7.3,7.3,7.3,6.8,7.5,6.9,6.0
,Railways_NR ISTS,3.4,3.4,3.4,3.3,3.5,3.2,3.1
WR,Chhattisgarh,109.1,108.8,109.3,106.4,105.3,109.2,112.5
,Gujarat,507.4,506.6,485.9,410.9,400.8,423.9,423.3
,MP,320.4,298.0,258.3,247.6,235.0,231.3,226.5
,Maharashtra,566.3,579.3,584.6,536.8,511.2,510.6,495.7
,Goa,13.8,14.0,14.0,13.8,13.8,13.6,13.1
,DNHDDPDCL,28.5,29.8,29.0,29.4,29.8,29.7,28.7
,AMNSIL,16.5,18.5,18.4,18.2,18.1,18.0,17.5
,BALCO,12.4,12.4,12.5,12.4,12.5,12.5,12.4
SR,Andhra Pradesh,205.4,199.7,201.0,204.0,209.0,221.6,216.0
,Telangana,191.6,170.9,173.8,183.9,196.4,203.3,195.0
,Karnataka,221.8,223.3,219.6,223.3,233.3,228.8,218.5
,Kerala,81.3,80.2,78.7,77.3,77.5,77.0,70.2
,Tamil Nadu,326.8,333.3,339.8,336.9,341.1,352.2,325.9
,Pondy,9.9,9.7,9.4,9.1,9.9,10.2,9.4
ER,Bihar,134.6,143.0,133.8,135.0,123.5,124.8,139.9
,DVC,73.7,73.6,74.2,75.0,73.6,76.4,76.9
,Jharkhand,35.8,36.1,35.8,35.7,34.6,34.2,40.0
,Odisha,105.5,105.7,108.5,105.5,117.4,122.6,133.9
,West Bengal,199.2,200.9,208.6,201.6,189.6,196.9,199.3
,Sikkim,1.4,1.4,1.3,1.2,1.3,1.1,0.8
,Railways_ER ISTS*,0.1,0.2,0.2,0.2,0.2,0.2,0.2
NER,Arunachal Pradesh,3.2,3.2,3.1,2.9,3.0,2.9,3.2
Assam,48.9,48.0,48.1,46.9,44.1,46.2,43.6,
Manipur,2.8,2.8,2.8,2.6,2.5,2.7,2.7,
Meghalaya,5.2,5.1,5.2,5.0,5.4,5.7,5.6,
Mizoram,2.0,2.1,1.8,1.6,2.0,2.0,1.8,
Nagaland,3.3,3.3,3.1,2.7,2.9,2.9,2.9,
Tripura,6.2,6.2,6.0,5.4,6.0,5.9,5.8,
ALL INDIA TOTAL,5029.2,4999.7,4925.4,4769.9,4680.8,4638.4,4490.4,
*Railways_ER ISTS added as an entity w.e.f 30.04.2023,,,,,,,,
