Region,States,06-08-2018,07-08-2018,08-08-2018,09-08-2018,10-08-2018,11-08-2018,12-08-2018
NR,Punjab,254.8,216.6,217.0,226.2,241.3,249.1,230.1
,Haryana,170.8,164.3,166.9,176.0,188.4,191.0,177.8
,Rajasthan,235.1,235.1,228.1,210.5,228.2,226.2,232.6
,Delhi,105.7,105.0,109.9,116.9,120.7,117.6,110.4
,UP,324.2,330.9,336.6,374.4,391.0,379.2,337.4
,Uttarakhand,34.5,33.7,36.4,38.8,38.6,40.8,35.5
,HP,24.9,26.8,26.4,26.9,28.6,28.6,25.0
,J&K,40.7,33.4,40.1,42.5,39.8,38.0,36.8
,Chandigarh,4.9,4.8,5.2,5.5,5.7,5.9,4.9
WR,Chhattisgarh,96.1,88.7,79.8,84.4,86.4,85.8,84.5
,Gujarat,344.1,349.2,355.2,341.4,353.4,352.1,336.4
,MP,185.4,187.4,171.3,174.9,179.0,178.5,179.2
,Maharashtra,446.0,456.1,452.7,434.2,443.3,441.3,425.6
,Goa,11.6,10.0,9.5,9.5,9.5,9.5,9.5
,DD,7.4,7.7,7.7,7.6,7.6,7.7,7.1
,DNH,17.9,17.5,18.2,18.3,18.1,18.1,18.0
,Essar steel,11.1,10.8,12.4,11.5,9.2,10.2,9.3
SR,Andhra Pradesh,181.6,178.4,173.8,174.8,176.1,158.3,154.7
,Telangana,209.1,205.3,201.3,200.2,201.5,171.4,143.2
,Karnataka,183.2,183.9,183.5,185.0,189.3,180.2,161.9
,Kerala,64.9,63.7,63.2,62.2,63.2,61.9,57.3
,Tamil Nadu,309.6,313.3,270.3,305.3,314.5,301.7,277.0
,Pondy,7.5,7.6,6.4,6.5,7.6,7.5,7.0
ER,Bihar,80.9,85.3,84.6,88.5,93.0,92.6,90.8
,DVC,66.8,67.0,66.3,67.1,66.2,67.8,67.7
,Jharkhand,22.0,22.6,22.6,23.0,24.3,24.8,24.3
,Odisha,98.2,97.5,98.9,109.5,108.5,104.8,101.3
,West Bengal,156.9,152.1,159.0,166.9,172.5,176.3,166.4
,Sikkim,1.0,0.9,0.8,1.3,1.1,1.0,0.9
NER,Arunachal Pradesh,2.2,2.1,2.1,2.2,2.3,2.5,2.3
Assam,33.3,34.7,30.8,33.1,34.7,32.2,31.0,
Manipur,2.2,2.2,2.3,2.4,2.3,2.5,2.5,
Meghalaya,5.6,5.7,5.7,5.7,5.8,5.6,5.6,
Mizoram,1.4,1.6,1.7,1.5,1.5,1.7,1.4,
Nagaland,2.2,2.2,2.2,2.5,2.5,2.5,2.3,
Tripura,4.7,4.6,4.6,5.2,4.5,4.7,4.6,
