Region,States,30-05-2022,31-05-2022,01-06-2022,02-06-2022,03-06-2022,04-06-2022,05-06-2022
NR,Punjab,186.5,197.0,203.1,205.0,212.5,214.5,208.7
,Haryana,173.2,186.5,189.0,195.8,200.6,204.3,191.3
,Rajasthan,298.5,305.0,305.0,307.5,312.6,303.6,300.0
,Delhi,120.6,120.0,123.5,128.9,130.5,129.4,125.8
,UP,465.8,490.1,495.7,503.2,508.5,506.5,509.6
,Uttarakhand,49.7,50.4,49.5,50.4,49.5,50.5,47.0
,HP,32.6,33.6,33.7,34.2,35.0,35.0,39.6
,J&K,47.2,50.6,50.9,48.8,48.9,49.4,44.4
,Chandigarh,7.0,6.7,6.5,6.6,6.9,6.7,6.0
WR,Chhattisgarh,99.2,101.6,102.8,106.1,108.1,108.4,106.0
,Gujarat,412.7,432.0,428.5,437.7,439.1,440.3,424.6
,MP,251.8,258.7,258.9,260.6,262.3,263.9,259.0
,Maharashtra,587.4,585.3,561.8,570.6,573.2,579.5,564.5
,Goa,14.6,14.7,14.9,14.5,14.4,14.5,14.0
,DD*,7.6,7.9,27.3,28.0,27.9,28.0,27.1
,DNH*,20.4,20.3,,,,,
,Essar steel,18.8,21.0,18.9,16.4,15.3,14.8,14.4
SR,Andhra Pradesh,222.3,222.9,223.9,229.1,226.2,224.2,225.0
,Telangana,185.4,183.0,181.1,187.7,184.5,191.4,180.3
,Karnataka,230.8,225.2,217.8,212.7,204.5,205.8,193.0
,Kerala,77.9,78.7,77.4,76.9,78.9,80.1,74.5
,Tamil Nadu,355.7,362.4,360.5,370.7,372.8,366.8,336.2
,Pondy,9.2,9.3,9.4,9.4,9.7,9.5,9.0
ER,Bihar,116.8,126.1,125.8,129.1,131.3,126.6,123.3
,DVC,77.7,77.5,74.9,76.4,76.4,76.5,76.2
,Jharkhand,32.4,32.6,31.9,30.3,29.4,29.8,31.3
,Odisha,123.6,124.7,124.5,134.7,136.1,123.0,126.0
,West Bengal,186.1,190.1,187.8,185.2,185.3,186.8,177.2
,Sikkim,1.6,1.5,1.6,1.6,1.5,1.3,1.1
NER,Arunachal Pradesh,2.3,2.8,2.6,2.6,2.5,2.6,2.4
Assam,37.0,38.4,37.8,38.4,36.2,36.2,32.7,
Manipur,2.6,2.6,2.6,2.6,2.6,2.6,2.5,
Meghalaya,5.5,5.7,4.7,5.7,6.1,5.6,5.2,
Mizoram,1.7,1.9,1.7,1.7,2.0,2.0,1.8,
Nagaland,2.5,2.6,2.6,2.5,2.5,2.5,2.5,
Tripura,5.0,5.1,5.5,5.2,4.8,3.8,3.9,
