Region,States,13-03-2017,14-03-2017,15-03-2017,16-03-2017,17-03-2017,18-03-2017,19-03-2017
NR,Punjab,65.6,76.1,92.5,95.1,100.8,105.7,106.0
,Haryana,87.2,94.5,107.3,109.6,112.4,115.0,107.9
,Rajasthan,153.7,169.0,179.9,180.4,186.9,174.4,159.3
,Delhi,43.4,50.8,57.8,59.1,60.9,57.8,56.3
,UP,264.9,266.8,253.9,258.8,270.1,275.0,272.0
,Uttarakhand,22.4,27.4,31.8,32.3,32.9,33.0,31.2
,HP,19.3,22.3,25.8,27.9,27.9,28.1,24.9
,J&K,41.9,41.5,43.0,43.2,42.8,43.0,41.9
,Chandigarh,2.7,2.7,3.3,3.3,3.3,3.2,2.9
WR,Chhattisgarh,68.2,72.3,75.2,82.9,83.4,85.7,79.9
,Gujarat,211.7,251.2,282.5,295.7,301.3,300.8,293.8
,MP,160.2,163.4,163.9,165.9,167.7,165.8,153.2
,Maharashtra,388.1,428.8,447.8,442.4,442.0,446.5,436.9
,Goa,8.9,8.9,9.5,9.1,9.5,9.6,8.6
,DD,3.5,5.1,6.8,7.1,7.1,7.2,6.8
,DNH,10.6,12.4,15.4,16.2,16.2,16.1,16.4
,Essar steel,7.0,6.4,7.9,7.7,7.5,8.1,8.1
SR,Andhra Pradesh,161.4,160.2,162.0,165.0,158.6,163.1,159.1
,Telangana,168.4,177.4,179.5,170.6,171.5,173.6,169.9
,Karnataka,215.3,217.0,210.7,205.0,215.3,215.1,206.4
,Kerala,68.4,69.9,67.2,66.3,68.1,69.0,64.0
,Tamil Nadu,290.4,299.2,294.9,299.8,307.8,307.0,288.8
,Pondy,6.3,6.8,7.1,6.8,7.0,7.0,6.6
ER,Bihar,61.6,60.7,60.0,59.4,62.0,60.3,61.6
,DVC,54.2,57.9,59.8,68.5,70.7,71.8,68.4
,Jharkhand,21.9,22.3,23.0,23.7,23.9,22.5,22.8
,Odisha,69.4,70.8,75.7,75.3,75.7,74.6,75.9
,West Bengal,92.9,102.2,113.7,115.6,119.4,123.5,111.5
,Sikkim,1.9,1.4,1.9,1.9,1.5,1.2,1.3
NER,Arunachal Pradesh,2.0,2.0,2.3,2.1,1.9,1.7,1.7
Assam,19.7,21.4,21.4,21.7,21.1,15.2,18.8,
Manipur,2.1,2.2,2.1,2.1,2.1,2.3,2.1,
Meghalaya,4.7,5.5,5.6,5.1,5.3,5.6,4.6,
Mizoram,1.4,1.4,1.4,1.4,1.5,1.4,1.3,
Nagaland,1.8,1.8,2.0,1.6,1.6,1.8,1.6,
Tripura,2.7,2.8,3.0,3.9,3.0,2.7,2.8,
