Region,States,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021
NR,Punjab,131.5,141.5,142.9,143.8,144.2,141.5,118.4
,Haryana,134.7,134.8,137.9,143.3,141.1,138.7,121.8
,Rajasthan,264.4,264.6,264.8,263.6,263.4,262.0,256.6
,Delhi,62.1,61.8,62.8,62.6,65.4,61.1,59.9
,UP,307.8,295.9,304.3,313.4,311.9,311.5,310.3
,Uttarakhand,36.1,37.9,38.4,38.0,38.4,38.4,35.3
,HP,31.1,31.3,31.9,31.5,32.8,31.4,28.4
,J&K,50.9,51.7,50.2,50.3,51.4,51.7,50.3
,Chandigarh,3.1,3.1,3.2,3.2,3.2,3.1,2.9
WR,Chhattisgarh,104.9,106.7,105.7,102.3,105.9,105.5,105.3
,Gujarat,371.6,371.3,369.1,376.1,386.4,387.1,365.8
,MP,259.4,261.4,260.0,257.6,252.9,253.3,248.6
,Maharashtra,514.9,527.4,526.5,526.1,526.8,533.1,515.5
,Goa,10.2,11.1,11.6,11.4,11.1,11.7,10.1
,DD,7.0,7.6,7.8,7.8,7.8,7.8,7.2
,DNH,19.7,20.0,20.3,20.3,20.2,20.2,19.8
,Essar steel,15.3,15.3,14.6,13.9,16.1,16.3,16.6
SR,Andhra Pradesh,205.1,207.8,204.7,204.6,210.1,209.8,208.4
,Telangana,259.4,262.5,264.0,265.6,268.1,265.2,261.2
,Karnataka,244.6,253.5,247.3,249.5,259.9,257.0,245.1
,Kerala,81.7,81.5,81.6,80.1,80.7,81.9,76.8
,Tamil Nadu,315.0,325.2,322.6,324.9,333.8,335.0,311.7
,Pondy,7.3,7.6,7.6,7.8,7.8,7.9,7.3
ER,Bihar,85.7,87.4,84.5,86.6,89.5,86.3,88.3
,DVC,65.2,66.5,68.3,67.0,69.7,68.1,66.1
,Jharkhand,25.7,26.8,26.9,27.9,26.7,26.6,26.7
,Odisha,86.6,87.1,85.4,87.3,85.2,88.9,100.0
,West Bengal,152.3,155.4,153.2,149.3,155.5,156.4,144.8
,Sikkim,1.2,1.2,1.2,1.4,1.7,1.8,1.5
NER,Arunachal Pradesh,2.3,2.4,2.1,2.1,2.2,2.1,2.2
Assam,24.5,24.9,24.9,25.5,24.1,21.1,22.1,
Manipur,2.6,2.6,2.5,2.7,1.5,2.3,2.4,
Meghalaya,6.2,5.2,5.4,5.3,5.4,4.8,5.1,
Mizoram,1.7,1.7,1.6,1.6,1.7,1.6,1.6,
Nagaland,2.3,2.0,2.0,2.0,1.9,2.2,2.2,
Tripura,4.0,4.0,3.9,4.2,4.2,3.4,3.4,
