Region,States,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020
NR,Punjab,211.5,226.3,236.9,234.4,201.3,194.7,190.5
,Haryana,173.3,185.2,194.5,201.5,196.4,185.7,162.4
,Rajasthan,174.7,180.8,190.8,194.4,185.8,185.8,173.1
,Delhi,93.3,97.5,102.1,108.4,110.7,104.4,96.3
,UP,413.8,439.9,428.5,434.8,451.6,455.9,438.6
,Uttarakhand,39.7,41.6,41.5,42.6,42.9,42.3,37.7
,HP,30.4,30.8,31.8,30.8,31.4,31.3,27.9
,J&K,46.6,43.2,43.2,43.7,43.2,43.5,41.9
,Chandigarh,5.4,5.5,5.9,5.8,5.7,5.6,4.9
WR,Chhattisgarh,82.9,87.6,80.0,84.4,89.6,89.9,90.5
,Gujarat,256.8,261.4,272.4,272.4,294.7,305.3,293.6
,MP,178.2,188.6,191.1,192.9,201.6,208.5,210.0
,Maharashtra,378.1,382.3,401.1,408.6,417.5,425.1,415.0
,Goa,9.5,10.2,9.2,9.1,9.4,9.5,8.8
,DD,6.3,6.3,6.6,6.7,6.8,6.9,6.3
,DNH,16.4,16.3,16.7,17.1,17.1,17.2,16.9
,Essar steel,16.7,14.8,15.5,17.4,15.8,16.7,17.1
SR,Andhra Pradesh,183.4,178.5,171.7,172.7,177.8,182.6,184.7
,Telangana,197.5,209.2,203.7,197.7,210.9,217.4,217.2
,Karnataka,183.5,179.2,171.6,155.2,164.5,167.5,158.7
,Kerala,64.1,65.6,65.3,67.2,69.5,68.9,58.5
,Tamil Nadu,296.1,289.0,275.8,280.4,284.4,278.4,255.4
,Pondy,7.8,7.7,7.7,7.8,8.0,8.0,7.6
ER,Bihar,121.6,120.1,106.9,117.1,121.5,124.7,122.0
,DVC,64.9,64.1,63.8,64.3,65.7,64.4,64.1
,Jharkhand,29.1,28.8,27.2,27.8,28.7,29.0,28.8
,Odisha,90.1,86.4,86.9,94.1,94.8,87.8,87.1
,West Bengal,172.1,159.6,154.5,164.5,175.9,178.5,165.6
,Sikkim,1.0,1.1,1.1,1.1,1.2,1.1,1.0
NER,Arunachal Pradesh,2.0,2.2,2.2,2.2,2.1,2.1,2.2
Assam,32.3,32.5,37.8,37.1,36.8,34.5,30.1,
Manipur,2.8,2.5,2.4,2.9,2.8,2.5,2.5,
Meghalaya,5.2,5.2,5.3,5.5,5.5,5.5,5.4,
Mizoram,1.7,1.7,1.6,1.6,1.6,1.6,1.5,
Nagaland,2.3,2.3,2.1,2.3,2.3,2.3,2.3,
Tripura,4.8,4.7,5.0,5.2,5.5,5.7,5.3,
