Region,States,05-11-2018,06-11-2018,07-11-2018,08-11-2018,09-11-2018,10-11-2018,11-11-2018
NR,Punjab,117.6,111.7,97.3,84.9,98.2,111.4,106.8
,Haryana,115.0,111.6,96.3,87.3,93.8,103.7,103.4
,Rajasthan,219.7,215.4,199.4,192.7,205.1,215.8,218.1
,Delhi,65.4,63.0,53.9,50.4,55.3,57.3,55.5
,UP,304.0,300.2,293.9,263.7,259.9,260.7,263.3
,Uttarakhand,35.1,34.0,26.8,25.5,28.5,29.8,31.0
,HP,27.8,26.4,19.5,17.4,21.9,25.3,25.3
,J&K,39.4,40.2,37.9,35.6,38.5,41.8,42.5
,Chandigarh,3.2,3.1,2.7,2.7,3.0,2.9,2.9
WR,Chhattisgarh,85.8,88.9,81.3,72.5,75.3,75.5,76.0
,Gujarat,334.4,310.1,258.4,224.1,239.3,257.6,268.5
,MP,269.6,265.0,253.7,241.0,247.5,252.9,257.8
,Maharashtra,477.2,471.6,413.7,401.6,409.5,419.7,426.6
,Goa,10.7,9.7,9.7,9.4,9.4,9.4,9.8
,DD,7.2,6.8,3.7,2.9,4.0,5.4,6.0
,DNH,15.7,15.0,9.5,8.5,11.3,13.2,13.7
,Essar steel,10.3,9.8,11.2,11.8,11.5,12.7,11.1
SR,Andhra Pradesh,192.2,194.7,184.9,187.2,194.2,190.6,191.6
,Telangana,202.5,204.5,190.9,189.4,192.4,190.6,187.2
,Karnataka,210.3,214.8,205.4,197.2,210.8,215.5,206.8
,Kerala,70.6,70.2,70.1,70.9,70.9,70.3,64.7
,Tamil Nadu,254.2,216.9,221.4,251.1,272.9,283.3,274.5
,Pondy,6.6,5.3,5.6,6.4,6.8,7.0,6.4
ER,Bihar,79.3,79.1,82.9,76.4,75.2,72.9,72.9
,DVC,60.7,65.1,64.5,62.8,63.1,61.7,63.0
,Jharkhand,23.8,25.4,25.0,25.4,25.2,24.2,24.2
,Odisha,90.1,93.1,93.4,92.2,91.1,96.5,92.7
,West Bengal,145.0,147.0,121.2,130.5,114.8,105.8,105.5
,Sikkim,1.2,1.2,1.0,1.0,1.0,1.1,1.5
NER,Arunachal Pradesh,2.0,2.0,2.0,2.2,2.1,2.1,2.1
,Assam,22.7,23.4,22.3,23.6,24.6,24.2,23.3,
,Manipur,2.4,2.1,2.5,2.3,2.5,2.5,2.5,
,Meghalaya,5.3,5.3,5.3,5.3,5.4,5.1,5.2,
,Mizoram,1.9,1.7,1.4,1.6,1.5,1.8,1.7,
,Nagaland,2.1,2.1,2.0,2.1,2.3,2.2,2.1,
,Tripura,3.6,5.2,5.3,4.1,3.8,3.7,3.4,
