Region,States,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020
NR,Punjab,117.5,117.0,127.4,127.6,130.8,131.1,126.2
,Haryana,123.5,126.9,133.3,133.7,132.4,132.6,119.5
,Rajasthan,235.9,240.0,242.6,245.2,251.6,250.1,245.3
,Delhi,60.0,61.2,63.3,59.9,63.7,61.1,58.6
,UP,246.2,259.1,259.7,260.6,263.6,264.5,255.6
,Uttarakhand,35.6,34.6,36.8,37.0,37.4,37.2,33.9
,HP,28.6,29.5,30.1,30.6,31.2,31.2,27.5
,J&K,52.2,50.6,51.8,52.6,53.5,52.5,51.7
,Chandigarh,3.0,3.2,3.3,3.2,3.3,3.2,3.0
WR,Chhattisgarh,74.1,74.3,75.0,71.8,77.1,77.7,78.4
,Gujarat,343.9,346.8,345.7,350.4,354.9,353.5,340.3
,MP,278.2,279.5,282.6,283.7,286.1,287.7,284.0
,Maharashtra,465.6,471.3,473.0,467.4,459.2,455.7,439.1
,Goa,10.0,10.4,10.0,9.5,10.0,10.2,8.9
,DD,7.3,7.2,7.4,6.1,7.3,7.5,7.0
,DNH,18.4,18.1,18.2,18.4,18.3,18.2,18.0
,Essar steel,17.5,16.6,17.2,17.3,17.5,17.3,17.9
SR,Andhra Pradesh,135.6,139.5,147.2,145.0,147.0,148.5,145.9
,Telangana,143.4,139.9,148.7,151.7,157.0,157.8,157.3
,Karnataka,187.6,193.6,197.1,196.2,194.4,191.1,176.8
,Kerala,73.4,73.7,72.6,70.7,69.4,69.8,64.3
,Tamil Nadu,255.1,264.0,263.3,243.0,242.1,240.9,221.1
,Pondy,6.8,6.7,6.6,6.4,6.3,6.6,6.2
ER,Bihar,73.9,71.9,72.4,73.3,74.6,73.6,73.1
,DVC,65.8,62.7,61.8,65.8,63.6,63.7,65.1
,Jharkhand,25.3,24.8,24.0,23.7,23.8,24.1,23.7
,Odisha,68.3,71.2,71.5,81.7,79.9,67.6,66.7
,West Bengal,109.5,111.3,111.8,113.1,112.7,114.1,102.7
,Sikkim,1.6,1.6,1.6,1.7,1.6,1.6,1.5
NER,Arunachal Pradesh,2.1,2.1,2.2,2.2,2.2,2.3,2.1
Assam,22.9,23.3,24.2,24.4,24.0,24.0,22.5,
Manipur,2.7,3.0,2.9,3.0,3.0,3.1,3.0,
Meghalaya,5.7,5.9,6.2,6.0,6.4,6.0,6.3,
Mizoram,1.6,1.6,1.6,1.6,1.6,1.7,1.7,
Nagaland,2.1,2.1,2.1,2.3,2.3,2.2,2.2,
Tripura,3.5,3.7,3.7,3.5,3.5,3.5,3.4,
