Region,States,17-04-2017,18-04-2017,19-04-2017,20-04-2017,21-04-2017,22-04-2017,23-04-2017
NR,Punjab,120.7,122.5,129.1,135.6,136.7,109.7,103.0
,Haryana,124.1,132.6,134.0,135.4,139.5,127.8,127.7
,Rajasthan,189.9,193.4,197.0,201.5,196.8,200.1,194.9
,Delhi,99.1,102.8,104.5,109.5,114.6,109.7,93.8
,UP,335.9,348.5,352.9,359.1,350.9,342.6,324.5
,Uttarakhand,36.1,38.3,37.8,38.9,39.3,35.1,34.2
,HP,25.0,25.4,26.5,26.2,25.6,22.3,22.4
,J&K,50.6,38.4,38.8,35.5,32.2,30.2,35.7
,Chandigarh,4.9,5.3,5.5,5.5,6.1,4.9,4.5
WR,Chhattisgarh,94.3,95.1,94.3,92.7,91.6,91.4,93.4
,Gujarat,341.0,340.5,339.3,344.2,348.5,339.5,323.9
,MP,183.3,182.7,179.9,179.9,184.7,184.4,178.3
,Maharashtra,494.5,499.3,497.7,488.4,485.4,486.8,472.6
,Goa,10.5,11.1,10.7,10.8,11.1,10.8,9.1
,DD,7.2,7.3,7.3,7.2,7.3,5.9,6.8
,DNH,16.1,16.8,17.2,17.4,17.2,17.2,17.1
,Essar steel,9.7,9.2,8.8,9.5,10.1,9.7,10.2
SR,Andhra Pradesh,169.4,170.8,168.7,166.6,160.0,164.0,164.6
,Telangana,168.9,174.1,172.6,168.2,168.6,163.0,156.8
,Karnataka,198.5,211.2,214.2,210.4,204.3,205.1,198.0
,Kerala,75.7,76.4,77.2,76.6,73.6,73.6,70.3
,Tamil Nadu,313.3,320.6,331.0,327.7,321.8,316.2,298.1
,Pondy,7.4,7.6,7.8,7.7,7.8,7.5,7.6
ER,Bihar,66.6,65.8,68.5,61.8,69.1,69.0,66.9
,DVC,65.8,65.6,66.4,65.8,66.4,66.2,63.6
,Jharkhand,24.9,25.3,20.4,23.5,24.8,23.8,25.7
,Odisha,79.9,83.6,78.8,82.4,83.6,81.8,82.3
,West Bengal,154.9,161.6,152.2,141.0,153.3,133.2,118.6
,Sikkim,1.3,1.4,1.4,1.4,1.2,1.0,0.9
NER,Arunachal Pradesh,1.9,2.1,2.0,1.9,2.0,2.1,2.0
Assam,21.3,23.3,22.8,21.3,22.2,21.7,21.6,
Manipur,2.3,2.5,2.4,2.4,2.3,2.3,2.4,
Meghalaya,4.4,4.8,4.5,4.4,4.2,4.1,4.1,
Mizoram,1.3,1.4,1.4,1.3,1.5,1.2,1.5,
Nagaland,1.9,2.1,2.1,2.4,2.1,1.8,1.9,
Tripura,2.9,4.0,3.0,2.2,2.4,3.9,2.8,
