Region,States,08-04-2024,09-04-2024,10-04-2024,11-04-2024,12-04-2024,13-04-2024,14-04-2024
NR,Punjab,150.7,155.4,160.4,155.3,160.1,151.7,134.9
,Haryana,147.9,154.9,156.5,153.5,158.1,150.4,131.8
,Rajasthan,263.0,271.4,269.5,260.2,264.4,257.9,242.3
,Delhi,88.6,91.3,92.2,91.1,96.8,90.8,83.5
,UP,403.2,416.0,410.7,419.4,417.4,421.6,411.3
,Uttarakhand,42.2,44.1,35.7,43.8,43.7,44.3,40.5
,HP,33.1,33.3,32.8,32.8,33.8,32.9,28.7
,J&K,54.5,55.8,55.8,51.4,52.2,51.3,49.4
,Chandigarh,4.1,4.3,4.4,4.2,4.4,4.4,3.9
,Railways_NR ISTS,3.9,3.9,3.9,4.0,4.1,4.2,4.2
WR,Chhattisgarh,120.4,115.0,125.2,114.3,119.3,120.7,125.8
,Gujarat,465.9,475.3,470.7,477.7,467.2,464.7,448.6
,MP,262.7,255.3,243.3,241.0,238.7,233.6,237.6
,Maharashtra,623.8,603.7,608.1,584.1,583.4,567.0,571.5
,Goa,15.9,15.6,15.7,16.0,16.4,16.2,13.8
,DNHDDPDCL,28.9,29.3,29.4,28.9,28.9,28.8,27.8
,AMNSIL,18.8,18.6,18.4,18.4,16.9,19.2,20.1
,BALCO,12.5,12.5,12.5,12.5,12.4,12.4,12.4
SR,Andhra Pradesh,236.8,235.9,234.4,237.7,239.1,235.4,236.2
,Telangana,260.6,244.2,248.5,242.2,241.4,226.9,223.6
,Karnataka,331.7,312.9,320.2,319.4,316.8,301.3,287.4
,Kerala,110.2,111.8,104.4,108.3,104.7,98.8,92.6
,Tamil Nadu,424.6,426.5,426.4,427.3,422.1,408.0,375.1
,Pondy,10.8,10.7,10.7,10.9,10.7,10.8,10.3
ER,Bihar,122.4,123.4,126.4,125.8,118.8,128.2,132.6
,DVC,70.4,71.8,72.9,73.3,71.7,72.7,72.8
,Jharkhand,36.7,38.4,40.2,37.4,38.9,39.2,40.2
,Odisha,121.8,120.2,124.5,114.3,116.2,120.6,117.1
,West Bengal,192.4,196.4,208.3,187.5,192.7,205.2,208.4
,Sikkim,1.8,1.7,1.7,1.6,1.6,1.6,1.2
,Railways_ER ISTS,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NER,Arunachal Pradesh,3.0,2.1,1.9,2.4,2.4,2.3,2.6
Assam,35.4,36.0,36.0,34.6,35.9,35.1,33.5,
Manipur,3.0,3.1,3.1,3.1,3.1,3.1,3.0,
Meghalaya,5.7,5.7,5.9,5.9,5.8,6.2,6.1,
Mizoram,2.0,1.8,1.9,2.0,1.9,2.0,1.8,
Nagaland,2.5,2.1,2.4,2.4,2.4,2.6,2.3,
Tripura,5.0,5.3,5.5,5.4,6.1,5.7,5.8,
