Region,States,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020
NR,Punjab,113.5,118.8,116.9,114.3,115.7,114.7,105.9
,Haryana,130.7,136.5,133.7,131.3,129.8,128.0,115.0
,Rajasthan,238.1,241.4,242.4,242.3,241.5,242.6,236.2
,Delhi,70.1,68.2,66.6,66.7,65.8,63.2,59.5
,UP,290.6,289.2,285.1,282.9,282.3,279.1,273.2
,Uttarakhand,33.8,27.4,35.4,35.8,36.0,36.1,31.5
,HP,28.0,29.1,29.4,29.5,30.0,29.3,27.2
,J&K,44.7,47.6,47.3,45.6,45.4,54.4,46.2
,Chandigarh,3.1,3.1,3.1,3.1,3.1,3.0,2.7
WR,Chhattisgarh,77.8,77.0,78.5,77.0,76.0,73.7,72.8
,Gujarat,347.0,351.2,350.8,357.4,355.7,353.6,337.7
,MP,247.7,252.5,255.8,259.5,263.1,262.5,259.2
,Maharashtra,407.3,424.0,428.7,427.6,421.2,421.2,408.9
,Goa,9.2,9.4,9.7,9.4,9.5,10.4,9.6
,DD,6.4,7.5,7.7,7.7,7.7,7.6,6.7
,DNH,16.5,17.9,18.0,18.1,18.4,18.3,17.5
,Essar steel,17.2,16.8,16.7,17.0,16.7,17.2,17.3
SR,Andhra Pradesh,165.1,171.3,172.2,170.9,175.0,178.9,177.5
,Telangana,143.8,153.4,157.3,156.3,158.8,156.3,149.6
,Karnataka,136.0,152.8,163.2,166.9,175.4,179.3,167.9
,Kerala,67.9,70.5,71.5,71.6,72.4,72.6,67.1
,Tamil Nadu,285.5,311.0,315.4,311.5,317.0,318.2,296.8
,Pondy,7.2,7.6,7.6,7.6,7.5,7.8,7.2
ER,Bihar,81.8,80.4,83.2,79.2,80.8,82.2,83.3
,DVC,57.9,61.1,62.3,64.0,64.4,63.2,62.3
,Jharkhand,24.3,25.5,24.8,25.0,25.4,27.5,26.4
,Odisha,85.2,79.8,76.9,76.1,78.3,85.3,88.3
,West Bengal,120.3,120.8,126.5,137.1,135.3,142.0,136.4
,Sikkim,0.7,0.9,1.1,1.2,1.3,1.3,1.1
NER,Arunachal Pradesh,2.1,2.2,2.2,2.1,2.2,2.2,2.0
Assam,23.6,26.9,29.6,30.9,30.7,29.6,27.3,
Manipur,2.7,2.6,2.9,2.6,2.6,2.5,2.6,
Meghalaya,5.9,5.8,5.8,5.7,5.8,5.8,5.6,
Mizoram,1.6,1.6,1.6,1.6,1.6,1.5,1.5,
Nagaland,2.3,2.3,2.4,2.3,2.4,2.4,2.4,
Tripura,4.6,4.7,4.7,5.1,5.2,3.8,4.1,
