Region,States,30-01-2017,31-01-2017,01-02-2017,02-02-2017,03-02-2017,04-02-2017,05-02-2017
NR,Punjab,89.7,92.2,92.0,92.9,94.5,79.0,79.4
,Haryana,98.0,100.9,104.3,110.3,106.9,109.4,98.9
,Rajasthan,193.9,202.0,200.8,197.9,201.2,201.9,199.9
,Delhi,60.2,63.6,63.9,62.9,64.1,60.2,59.1
,UP,261.4,261.3,261.3,256.9,257.7,259.5,256.4
,Uttarakhand,34.9,35.1,35.0,34.0,35.4,34.9,31.7
,HP,25.9,25.0,25.4,25.3,25.5,27.9,23.3
,J&K,44.2,44.0,44.5,45.2,45.7,46.3,33.3
,Chandigarh,3.7,3.6,3.6,3.5,3.6,3.4,3.1
WR,Chhattisgarh,73.2,74.8,73.9,75.0,76.1,71.2,75.0
,Gujarat,284.5,285.7,281.2,284.4,289.4,286.4,272.4
,MP,198.9,201.6,202.7,202.5,204.2,203.7,201.6
,Maharashtra,425.9,434.0,429.8,437.8,427.5,428.0,419.1
,Goa,9.4,9.9,9.6,9.1,9.4,8.0,8.2
,DD,6.7,6.8,6.7,6.7,6.7,6.7,6.5
,DNH,16.9,16.5,16.3,16.5,16.4,16.9,16.4
,Essar steel,9.4,10.2,9.4,8.8,8.0,10.9,9.3
SR,Andhra Pradesh,151.8,152.5,159.7,155.4,158.5,156.8,154.9
,Telangana,160.7,164.8,165.8,167.9,167.6,165.8,162.5
,Karnataka,200.8,208.3,208.1,210.3,211.4,209.4,198.5
,Kerala,67.9,68.6,68.2,66.7,65.9,65.5,59.0
,Tamil Nadu,254.0,264.0,267.5,268.0,277.2,266.0,257.0
,Pondy,5.8,6.0,6.2,6.2,5.9,6.0,5.4
ER,Bihar,61.1,61.8,65.4,62.2,59.9,59.6,61.7
,DVC,63.7,64.3,64.2,63.2,63.7,64.6,62.7
,Jharkhand,23.0,23.3,23.8,22.1,21.8,22.0,21.7
,Odisha,67.7,67.6,69.8,68.3,68.6,66.9,66.4
,West Bengal,110.7,110.8,108.2,110.9,113.4,113.4,106.1
,Sikkim,2.2,1.1,1.4,1.4,1.7,1.8,1.3
NER,Arunachal Pradesh,2.1,2.1,2.0,1.9,2.0,2.0,1.9
Assam,22.0,21.8,21.5,22.1,21.5,22.6,21.7,
Manipur,2.3,2.3,2.2,2.3,2.1,2.2,2.2,
Meghalaya,5.6,5.8,5.4,5.3,6.0,6.2,6.0,
Mizoram,1.4,1.5,1.5,1.5,1.5,1.4,1.3,
Nagaland,2.0,2.1,1.9,1.9,1.8,1.7,1.7,
Tripura,3.5,3.6,3.7,3.7,4.3,3.3,3.4,
