Region,States,02-12-2019,03-12-2019,04-12-2019,05-12-2019,06-12-2019,07-12-2019,08-12-2019
NR,Punjab,100.2,102.1,107.9,112.0,114.0,113.8,108.5
,Haryana,109.1,115.8,118.6,119.4,121.6,120.5,109.0
,Rajasthan,210.4,217.5,220.4,222.7,225.4,223.2,219.8
,Delhi,60.8,62.5,62.6,63.5,65.0,62.0,59.3
,UP,240.5,239.9,245.0,250.4,249.4,248.3,242.3
,Uttarakhand,33.0,35.0,35.4,35.3,36.1,35.0,32.1
,HP,28.3,28.4,29.6,29.9,30.4,30.0,26.4
,J&K,44.3,44.4,45.3,46.4,45.9,46.4,45.4
,Chandigarh,3.4,3.5,3.2,3.5,3.6,3.4,3.1
WR,Chhattisgarh,71.7,71.9,71.5,73.1,72.8,72.5,73.0
,Gujarat,330.3,331.3,330.8,336.3,331.9,325.8,312.0
,MP,248.2,250.3,251.9,253.1,253.3,255.1,252.3
,Maharashtra,437.4,439.8,445.8,449.6,441.9,434.6,421.6
,Goa,12.4,12.4,12.4,12.4,12.5,12.3,12.3
,DD,6.8,7.3,7.4,7.4,7.4,7.3,6.7
,DNH,18.2,18.5,18.8,18.9,18.7,18.6,18.2
,Essar steel,5.8,5.6,6.2,5.9,6.4,6.2,5.7
SR,Andhra Pradesh,151.6,152.6,153.2,156.4,156.0,155.0,150.3
,Telangana,157.3,156.0,165.9,172.5,181.5,181.7,175.6
,Karnataka,167.4,165.0,172.9,174.5,179.9,177.1,169.7
,Kerala,70.0,69.8,70.2,69.8,68.7,69.8,64.7
,Tamil Nadu,230.6,242.5,251.7,254.2,257.7,250.4,229.0
,Pondy,6.4,6.5,6.5,6.7,6.6,6.7,6.2
ER,Bihar,65.3,66.1,65.1,66.2,67.6,66.8,67.6
,DVC,58.0,60.0,59.3,60.9,61.6,59.9,60.3
,Jharkhand,23.7,23.6,23.8,24.4,23.8,23.8,24.3
,Odisha,85.4,86.0,79.4,75.1,75.8,74.0,73.8
,West Bengal,108.5,110.9,110.1,110.4,110.8,114.1,107.6
,Sikkim,1.5,1.7,1.7,1.6,1.7,1.7,1.4
NER,Arunachal Pradesh,2.3,2.3,2.1,2.1,2.2,2.3,2.1
Assam,23.4,22.0,22.2,21.5,22.6,21.5,21.1,
Manipur,2.4,2.3,2.5,2.3,2.4,2.2,2.5,
Meghalaya,6.0,6.0,6.0,5.9,6.0,6.0,6.1,
Mizoram,1.6,1.7,1.7,1.8,1.8,1.8,1.7,
Nagaland,2.2,2.2,2.2,2.2,2.2,2.2,2.2,
Tripura,2.6,3.4,3.3,3.4,3.9,3.7,3.5,
