Region,States,14-02-2022,15-02-2022,16-02-2022,17-02-2022,18-02-2022,19-02-2022,20-02-2022
NR,Punjab,124.5,126.3,130.0,131.2,137.4,138.2,124.7
,Haryana,126.2,130.4,131.8,131.4,131.8,130.2,118.2
,Rajasthan,277.1,280.0,281.7,279.3,280.3,278.5,273.1
,Delhi,65.1,65.4,65.6,64.3,65.6,61.0,59.4
,UP,315.1,312.3,311.8,307.3,309.6,315.2,298.1
,Uttarakhand,32.3,37.9,40.3,40.0,40.5,39.4,36.5
,HP,32.4,33.2,34.4,33.9,34.2,33.8,28.7
,J&K,60.1,59.8,60.6,59.0,62.0,59.7,56.1
,Chandigarh,3.5,3.4,3.3,3.3,3.4,3.2,3.0
WR,Chhattisgarh,92.3,95.4,96.2,95.5,95.7,96.1,94.7
,Gujarat,362.3,363.1,359.1,362.3,367.5,368.7,354.4
,MP,293.4,293.1,293.5,294.3,293.4,287.5,284.4
,Maharashtra,525.4,535.5,536.0,530.4,530.7,533.8,519.5
,Goa,10.7,12.1,12.4,12.4,12.4,12.0,11.1
,DD,7.3,7.5,7.8,7.8,7.8,7.8,7.3
,DNH,19.6,19.7,19.9,20.0,19.7,19.9,19.5
,Essar steel,17.4,19.5,19.6,17.8,19.5,19.5,18.4
SR,Andhra Pradesh,194.1,189.7,203.0,202.9,204.0,201.5,200.2
,Telangana,218.0,220.7,220.7,216.0,222.4,221.8,217.2
,Karnataka,250.6,255.8,256.2,256.3,256.4,257.5,245.0
,Kerala,79.7,81.0,80.7,80.6,81.0,80.5,75.4
,Tamil Nadu,307.5,317.7,323.2,326.2,331.9,311.9,304.5
,Pondy,7.3,7.4,7.4,7.3,7.6,7.6,7.1
ER,Bihar,82.4,80.9,82.9,83.8,80.6,81.4,82.4
,DVC,68.4,68.1,70.3,71.5,70.3,68.9,68.9
,Jharkhand,29.3,28.7,27.3,28.6,28.3,31.2,28.0
,Odisha,107.7,108.2,107.7,110.9,109.4,112.0,109.3
,West Bengal,117.3,120.6,121.5,122.4,122.5,121.3,112.4
,Sikkim,1.8,1.7,1.8,1.8,1.9,1.8,1.5
NER,Arunachal Pradesh,2.5,2.6,2.6,2.6,2.6,2.6,2.5
Assam,25.1,25.5,25.5,25.3,25.8,25.6,22.8,
Manipur,3.4,3.5,3.5,3.4,3.4,3.3,3.3,
Meghalaya,7.2,7.1,7.2,7.0,7.1,7.1,7.2,
Mizoram,2.0,2.1,2.2,2.0,2.0,2.0,1.8,
Nagaland,2.6,2.6,2.5,2.5,2.5,2.3,2.3,
Tripura,3.6,3.6,3.5,3.7,3.5,3.6,3.5,
