Region,States,09-07-2018,10-07-2018,11-07-2018,12-07-2018,13-07-2018,14-07-2018,15-07-2018
NR,Punjab,270.4,277.1,262.2,263.5,225.5,238.7,246.8
,Haryana,216.5,218.9,221.5,218.4,196.2,187.2,190.0
,Rajasthan,239.6,238.4,229.0,218.2,227.3,196.3,185.2
,Delhi,139.0,139.7,135.5,130.9,120.7,109.4,109.5
,UP,422.6,428.4,424.0,391.2,379.8,351.4,382.3
,Uttarakhand,45.4,46.2,44.5,41.9,42.2,41.3,41.5
,HP,25.4,24.9,24.5,28.9,27.8,29.1,26.5
,J&K,41.6,40.0,38.2,42.7,41.1,43.7,42.4
,Chandigarh,7.0,7.0,6.8,6.7,5.9,5.5,5.3
WR,Chhattisgarh,80.1,83.4,84.4,85.3,81.0,78.6,77.8
,Gujarat,328.7,326.1,310.7,305.0,303.4,298.1,269.8
,MP,170.5,167.4,166.0,156.7,158.7,161.2,164.0
,Maharashtra,389.0,390.8,392.8,392.1,383.1,388.9,373.0
,Goa,9.2,9.2,9.2,9.2,9.2,8.8,8.8
,DD,7.1,7.4,7.4,7.4,8.6,9.5,6.8
,DNH,17.4,17.7,17.8,17.7,16.5,17.4,17.3
,Essar steel,10.4,10.1,11.8,11.6,11.4,11.4,10.9
SR,Andhra Pradesh,155.5,155.0,154.1,148.6,153.7,150.6,147.5
,Telangana,140.7,179.4,160.4,140.1,146.8,145.6,145.4
,Karnataka,168.8,168.6,163.9,160.3,156.1,152.8,145.8
,Kerala,62.2,61.8,49.7,61.4,62.1,60.3,49.6
,Tamil Nadu,306.3,306.6,300.1,299.4,301.3,297.4,281.4
,Pondy,7.7,8.0,8.0,8.0,8.0,7.8,7.3
ER,Bihar,94.9,94.5,97.2,95.7,97.9,100.3,99.3
,DVC,68.7,69.8,70.1,70.8,71.5,71.3,69.5
,Jharkhand,25.0,24.9,24.6,24.1,24.6,24.9,23.7
,Odisha,79.1,80.3,82.1,86.5,77.0,69.9,75.9
,West Bengal,169.8,170.3,169.3,169.1,173.4,171.4,170.6
,Sikkim,1.1,1.1,1.3,1.3,1.2,1.1,1.3
NER,Arunachal Pradesh,2.1,2.3,2.4,2.2,2.4,2.4,2.1
Assam,31.5,32.8,33.8,32.2,31.5,32.8,31.0,
Manipur,2.3,2.5,2.5,2.4,2.4,2.5,2.4,
Meghalaya,5.9,5.5,5.3,5.4,5.6,5.5,5.8,
Mizoram,1.4,1.5,1.4,1.2,1.5,1.6,1.4,
Nagaland,2.1,2.3,2.2,2.2,2.4,2.3,2.1,
Tripura,4.2,4.6,4.9,4.7,4.8,4.1,4.7,
