Region,States,25-11-2019,26-11-2019,27-11-2019,28-11-2019,29-11-2019,30-11-2019,01-12-2019
NR,Punjab,101.7,100.3,98.0,99.4,102.8,101.4,92.9
,Haryana,114.5,114.2,108.2,100.3,109.9,108.5,97.7
,Rajasthan,216.7,214.5,218.6,213.0,212.3,213.3,210.3
,Delhi,62.5,63.5,62.6,62.4,63.5,60.4,57.2
,UP,260.8,258.2,258.4,238.2,236.2,240.5,232.6
,Uttarakhand,33.1,34.1,34.6,30.2,34.2,34.2,30.9
,HP,27.9,28.4,28.6,28.2,29.2,29.1,25.8
,J&K,44.5,44.2,40.1,37.9,44.3,44.1,43.8
,Chandigarh,3.2,3.4,3.5,3.5,3.5,3.3,3.1
WR,Chhattisgarh,71.6,72.8,71.5,71.4,71.9,71.7,70.5
,Gujarat,334.9,339.2,336.5,334.7,336.7,333.5,318.3
,MP,248.2,250.9,253.4,252.8,250.3,250.7,246.0
,Maharashtra,438.0,442.3,441.0,443.7,443.7,445.0,424.4
,Goa,12.3,12.3,12.3,12.5,12.9,12.9,12.9
,DD,7.0,7.3,7.4,7.4,7.4,7.3,6.5
,DNH,18.3,18.5,18.6,17.7,18.4,18.3,17.7
,Essar steel,6.3,6.5,5.6,5.7,5.9,5.4,5.3
SR,Andhra Pradesh,169.5,169.5,169.9,168.6,167.7,170.0,151.7
,Telangana,178.7,180.8,170.8,169.0,168.6,167.3,159.2
,Karnataka,196.3,182.1,185.8,190.8,195.3,190.9,162.3
,Kerala,72.0,73.0,73.5,73.8,74.2,72.0,64.2
,Tamil Nadu,269.1,280.8,280.3,265.8,264.7,250.0,211.8
,Pondy,6.8,7.0,7.2,7.1,7.3,6.9,5.8
ER,Bihar,66.6,68.3,68.7,69.3,69.0,69.0,66.8
,DVC,61.4,59.8,61.3,61.3,60.2,60.9,58.0
,Jharkhand,24.4,24.7,24.2,24.1,24.3,24.5,23.6
,Odisha,72.1,74.4,73.8,74.5,74.9,77.5,83.8
,West Bengal,107.5,110.8,113.4,113.0,114.1,115.6,102.1
,Sikkim,1.5,1.6,1.6,1.6,1.5,1.4,1.2
NER,Arunachal Pradesh,2.2,2.1,2.0,2.1,2.1,2.2,2.1
,Assam,22.6,22.7,23.3,23.1,22.9,23.0,20.4,
,Manipur,2.5,2.4,2.6,2.6,2.4,2.5,2.6,
,Meghalaya,5.9,5.7,5.8,5.5,5.5,6.0,5.9,
,Mizoram,1.7,1.7,1.8,1.8,1.8,1.8,1.8,
,Nagaland,2.1,2.1,2.2,2.2,2.2,2.2,2.1,
,Tripura,3.5,3.4,3.6,3.6,3.9,3.4,3.4,
