Region,States,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021
NR,Punjab,275.5,280.5,277.8,273.2,246.3,235.9,241.8
,Haryana,210.4,204.1,179.8,181.8,172.8,160.8,160.6
,Rajasthan,286.4,270.0,245.3,235.6,222.2,234.8,241.7
,Delhi,105.9,104.6,92.2,95.9,102.7,97.9,96.4
,UP,422.9,398.7,401.3,419.6,422.1,408.8,421.2
,Uttarakhand,39.1,42.2,42.4,42.7,43.1,42.5,38.4
,HP,31.1,32.5,32.7,32.6,30.6,32.8,30.0
,J&K,49.0,48.1,48.4,50.0,48.0,47.4,48.5
,Chandigarh,5.4,6.1,6.1,5.9,5.9,5.6,5.4
WR,Chhattisgarh,109.6,109.6,110.1,115.1,115.1,107.8,103.6
,Gujarat,355.7,325.4,304.7,307.3,316.7,324.4,317.7
,MP,219.8,219.3,223.1,227.3,231.5,220.3,222.5
,Maharashtra,465.8,435.9,443.2,450.5,456.1,455.0,424.8
,Goa,12.0,12.2,12.0,12.3,12.5,12.1,11.0
,DD,7.2,7.4,7.3,7.3,7.5,7.6,7.1
,DNH,19.7,19.6,18.6,19.5,19.3,19.6,19.3
,Essar steel,19.8,19.3,17.5,16.2,16.4,18.0,17.9
SR,Andhra Pradesh,173.4,178.1,181.5,179.8,176.9,178.6,172.1
,Telangana,154.1,152.7,161.0,178.0,171.7,165.6,150.1
,Karnataka,167.7,176.6,185.4,185.6,178.9,169.3,150.6
,Kerala,66.2,71.2,72.5,72.2,71.8,69.3,61.2
,Tamil Nadu,298.5,317.8,320.5,308.8,296.6,289.0,259.8
,Pondy,7.9,8.2,8.3,8.1,8.0,7.8,7.1
ER,Bihar,111.2,116.1,123.1,121.3,119.1,125.9,128.3
,DVC,65.1,65.5,65.7,67.5,67.0,67.8,68.1
,Jharkhand,29.0,29.7,30.6,30.1,29.1,30.3,30.5
,Odisha,101.6,102.1,105.8,106.7,118.5,119.2,120.0
,West Bengal,161.3,168.2,173.8,178.3,182.8,184.4,179.3
,Sikkim,1.4,1.3,1.4,1.3,1.4,1.4,1.2
NER,Arunachal Pradesh,2.0,2.4,2.4,2.2,2.3,2.5,2.5
Assam,34.7,37.5,36.5,34.2,37.2,40.0,39.5,
Manipur,2.8,2.7,2.7,2.6,2.7,2.7,2.8,
Meghalaya,5.9,5.9,5.8,6.0,5.8,5.8,5.6,
Mizoram,1.6,1.5,1.6,1.5,1.6,1.5,1.6,
Nagaland,2.5,2.6,2.5,2.4,2.3,2.6,2.7,
Tripura,4.8,5.5,5.1,5.3,5.6,5.6,4.4,
