Region,States,21-11-2022,22-11-2022,23-11-2022,24-11-2022,25-11-2022,26-11-2022,27-11-2022
NR,Punjab,124.5,128.9,131.1,135.7,138.2,136.3,128.7
,Haryana,127.7,131.6,133.9,135.0,134.9,134.7,122.2
,Rajasthan,299.0,299.4,293.6,298.0,303.4,301.3,301.4
,Delhi,64.0,66.0,65.2,65.7,68.0,63.1,61.0
,UP,301.0,304.5,305.4,307.7,305.3,300.4,296.0
,Uttarakhand,35.9,36.7,37.9,37.7,38.4,37.2,34.4
,HP,32.8,33.1,33.9,33.2,33.4,33.6,31.7
,J&K,55.4,56.0,56.7,55.1,56.9,55.7,55.9
,Chandigarh,3.2,3.3,3.4,3.4,3.4,3.3,3.0
WR,Chhattisgarh,83.6,85.1,86.0,86.8,86.4,85.7,86.2
,Gujarat,398.2,397.5,390.6,400.5,398.0,395.0,380.1
,MP,304.1,305.4,309.5,309.4,309.4,308.3,305.6
,Maharashtra,510.5,522.7,530.9,531.8,537.5,539.7,526.7
,Goa,10.5,11.0,11.5,13.2,13.6,12.2,11.1
,DNHDDPDCL,26.2,27.0,27.1,27.4,26.3,27.3,26.2
,Essar steel,17.3,17.1,17.2,16.5,16.9,17.7,17.6
SR,Andhra Pradesh,176.1,178.4,174.6,178.5,182.2,184.2,181.4
,Telangana,162.9,166.7,170.7,172.9,174.7,170.8,163.5
,Karnataka,214.5,214.3,207.3,199.0,206.2,204.4,192.7
,Kerala,73.6,74.7,74.5,74.8,75.9,76.9,69.9
,Tamil Nadu,283.1,291.5,301.5,303.9,312.5,312.0,279.3
,Pondy,8.0,8.6,8.6,8.6,8.9,8.9,8.4
ER,Bihar,77.3,79.2,80.5,78.5,82.6,78.6,78.4
,DVC,67.9,70.2,70.0,69.6,69.0,69.8,66.6
,Jharkhand,27.1,27.3,27.3,27.0,25.9,27.6,26.9
,Odisha,98.3,97.3,102.2,101.0,100.8,103.9,104.3
,West Bengal,120.0,122.6,122.2,121.9,121.6,120.2,111.4
,Sikkim,1.7,1.8,1.8,1.8,1.8,1.7,1.4
NER,Arunachal Pradesh,2.2,2.1,2.3,2.2,2.2,2.2,2.1
,Assam,26.0,26.3,26.5,26.8,26.7,26.4,24.7,
,Manipur,2.8,2.9,2.9,2.9,2.9,2.9,2.9,
,Meghalaya,6.7,6.7,6.8,6.8,6.9,7.0,6.9,
,Mizoram,1.8,1.8,1.9,1.9,1.8,1.9,1.8,
,Nagaland,2.1,2.2,2.2,2.2,2.2,2.2,2.0,
,Tripura,3.9,3.9,3.8,3.8,3.8,4.4,3.8,
