Region,States,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021
NR,Punjab,159.8,131.0,151.1,144.3,144.4,156.0,176.0
,Haryana,144.4,104.6,135.1,140.0,145.8,141.4,168.1
,Rajasthan,242.7,219.3,210.3,204.8,230.8,218.1,243.8
,Delhi,90.0,75.3,81.8,88.3,91.3,82.1,104.2
,UP,402.6,312.4,371.6,399.8,405.5,404.5,442.2
,Uttarakhand,36.9,32.0,37.1,38.3,39.5,40.1,42.1
,HP,26.8,26.4,28.7,27.9,28.8,28.5,29.4
,J&K,46.9,46.5,49.1,46.3,48.0,49.6,49.9
,Chandigarh,4.9,4.3,4.6,4.6,4.4,4.0,5.2
WR,Chhattisgarh,89.7,87.7,83.0,82.8,82.7,87.1,91.1
,Gujarat,349.4,351.8,354.5,351.6,357.7,344.8,350.0
,MP,207.9,209.3,206.1,203.9,207.1,202.5,208.4
,Maharashtra,471.1,465.9,453.5,448.2,444.7,431.5,438.3
,Goa,12.4,12.6,12.6,12.7,12.3,11.7,11.9
,DD,6.3,6.6,6.7,5.5,6.8,6.9,6.6
,DNH,16.3,16.6,16.9,17.2,16.1,17.2,18.5
,Essar steel,13.1,13.6,13.7,14.6,15.6,17.0,16.6
SR,Andhra Pradesh,204.2,199.7,194.1,172.6,174.9,175.6,181.3
,Telangana,160.4,158.4,153.6,140.3,146.7,146.7,155.7
,Karnataka,205.9,210.7,207.7,174.5,160.3,151.5,160.5
,Kerala,68.1,68.1,70.6,71.2,68.4,63.2,68.7
,Tamil Nadu,285.4,293.5,304.2,299.9,288.9,273.7,288.9
,Pondy,7.7,7.8,7.9,7.8,8.0,7.6,7.7
ER,Bihar,108.4,85.6,93.0,116.6,120.9,119.9,121.0
,DVC,64.5,63.1,63.5,67.1,66.1,67.8,67.1
,Jharkhand,25.2,27.2,24.5,27.3,29.8,29.0,29.2
,Odisha,111.4,101.2,92.0,96.8,101.9,101.6,101.0
,West Bengal,142.8,153.1,150.5,171.7,178.2,170.1,155.6
,Sikkim,1.3,1.3,1.3,1.3,1.3,1.3,1.3
NER,Arunachal Pradesh,1.8,1.9,2.1,2.1,1.7,1.8,2.1
Assam,28.6,31.0,31.1,32.0,31.8,26.0,24.6,
Manipur,2.5,2.6,2.5,2.6,2.6,2.6,2.7,
Meghalaya,4.7,5.5,5.7,5.7,5.2,5.4,5.2,
Mizoram,1.7,1.7,1.6,1.6,1.6,1.5,1.6,
Nagaland,2.3,2.4,2.5,2.4,2.4,2.4,2.4,
Tripura,4.4,3.8,4.5,4.9,5.0,3.9,4.3,
